Index,True Label,Embedding
0,1711,"[ 0.01160949 -0.02472397  0.01783774 ... -0.01584213 -0.00022955
  0.01908212]"
1,105,"[ 0.02690193 -0.01798176 -0.00347303 ...  0.00923938 -0.0065375
 -0.0159463 ]"
2,117,"[ 0.03461507  0.00909641 -0.01908758 ... -0.01141833 -0.03279613
  0.05317881]"
3,147,"[ 0.02995648  0.02020154  0.02365201 ... -0.01466648 -0.02441451
  0.06501878]"
4,881,"[-0.03040203 -0.02258262  0.01422817 ... -0.02741024  0.02519779
 -0.00167166]"
5,842,"[-0.03427427  0.01929557  0.00672355 ... -0.01372484  0.02798627
 -0.04055384]"
6,459,"[ 1.1854073e-02  1.8907251e-02  5.1592709e-05 ... -4.7034007e-03
 -2.3072608e-02  5.1780674e-03]"
7,1766,"[ 5.9556149e-02 -3.9929423e-02  9.7688613e-03 ... -3.3097524e-02
  8.9339213e-05  8.1613949e-03]"
8,355,"[-0.00817807  0.01591624  0.02868941 ... -0.03382833 -0.01153522
  0.01346343]"
9,85,"[-0.00706423  0.00760082 -0.03857692 ... -0.01296136 -0.00363048
  0.02115905]"
10,675,"[ 0.0289891   0.031798   -0.00504225 ... -0.03486053 -0.02615085
  0.01388698]"
11,36,"[-0.02963698  0.00807283 -0.01552785 ... -0.01495222 -0.01167197
 -0.04182589]"
12,240,"[ 0.00592612  0.02026468  0.03273221 ... -0.00692488  0.00652486
 -0.01400641]"
13,248,"[-0.01193067  0.03192706 -0.02932755 ... -0.01356553 -0.06960114
 -0.01624703]"
14,460,"[ 0.02013427 -0.01162149  0.00778672 ... -0.02172129 -0.00778818
 -0.00309655]"
15,256,"[ 0.03918416  0.01164466 -0.01341723 ... -0.00778801 -0.04604588
  0.01362279]"
16,712,"[-0.0199567  -0.03579318 -0.00663317 ... -0.00098067  0.00609276
  0.0167057 ]"
17,591,"[ 0.02249296  0.01443767 -0.01442108 ... -0.03477948  0.00388863
  0.030796  ]"
18,763,"[ 6.1388534e-02  4.4006621e-05  2.2220932e-02 ... -2.5754856e-02
 -9.6785687e-03 -4.1153985e-03]"
19,762,"[ 0.04405066 -0.00120813 -0.01319898 ...  0.03324021  0.01108114
 -0.0235002 ]"
20,128,"[-0.00534213 -0.01317738 -0.00949596 ...  0.02824626  0.00748146
  0.01032171]"
21,126,"[ 0.04866177  0.00474273 -0.00465607 ...  0.00100546 -0.02850556
  0.03824673]"
22,907,"[ 0.04106224 -0.02402662 -0.01406061 ... -0.02713737 -0.01029387
 -0.02503301]"
23,1759,"[-0.05410436 -0.00706815  0.0199684  ... -0.02615494 -0.01421127
 -0.04117864]"
24,89,"[-0.01684181 -0.01585693 -0.00976282 ...  0.00452871  0.01198087
 -0.0395708 ]"
25,367,"[ 0.02660924  0.00816127  0.00575979 ...  0.00260094 -0.01841752
 -0.03487615]"
26,1747,"[ 0.02880343 -0.03062005 -0.02823094 ... -0.04235751 -0.00945337
  0.02421434]"
27,102,"[-0.02465389 -0.0197302  -0.01312121 ... -0.05226447 -0.01500247
  0.01092218]"
