Index,True Label,Embedding
0,182,"[ 0.01483532  0.01628325 -0.02359664 ...  0.0179243  -0.02947969
  0.02593457]"
1,847,"[ 0.00064328 -0.00558242 -0.02629504 ... -0.00604838 -0.03399596
  0.04452818]"
2,30,"[ 0.0185262   0.01454997  0.00049887 ... -0.01359083  0.05838959
  0.02062192]"
3,1030,"[ 0.03704076 -0.00571549 -0.01102874 ... -0.04210692  0.00664799
  0.0067627 ]"
4,98,"[-0.04429564  0.01717797  0.01418353 ... -0.00386875 -0.00501974
 -0.02784406]"
5,131,"[ 0.03341786 -0.04082422  0.00336041 ...  0.00148419  0.01136663
  0.00038683]"
6,880,"[-0.00618078 -0.02127185 -0.01859549 ... -0.02089814 -0.0156287
 -0.01258387]"
7,846,[0.0104806  0.00425903 0.02482368 ... 0.01265726 0.00323259 0.01477008]
8,26,"[ 0.01617838 -0.02391083  0.0077767  ... -0.00591732 -0.01249015
  0.01121223]"
9,1668,"[-0.02444484 -0.00978015 -0.02350615 ... -0.02435645 -0.00848049
  0.01894744]"
10,22,"[-0.00867965  0.0535141   0.00088377 ... -0.00033169  0.05474205
  0.0313797 ]"
11,1540,"[ 0.00893468 -0.02654826 -0.00308455 ... -0.01318712 -0.00677617
  0.01890793]"
12,228,"[ 0.01562766 -0.03940884  0.01690688 ...  0.01100308  0.01911755
  0.01788425]"
13,1157,"[ 0.02333247 -0.01540407 -0.03094286 ... -0.01832719  0.04615788
 -0.02077626]"
14,147,"[ 0.03866903 -0.02336418 -0.01152403 ...  0.00297336  0.00545977
  0.03623396]"
15,361,"[ 0.02996097 -0.01537201 -0.02168556 ... -0.02606017 -0.01774582
  0.0134696 ]"
16,148,"[-0.02584286  0.02566513 -0.03017771 ... -0.02366243  0.05532666
  0.01014745]"
17,174,"[ 0.02718672 -0.01033351  0.00834377 ... -0.04383645 -0.02844547
  0.02515439]"
18,56,"[ 0.03558829  0.00783945  0.01584147 ... -0.04120051 -0.02526755
  0.01827745]"
19,148,"[-0.01758688  0.04332221  0.00815432 ...  0.02238298  0.02204089
 -0.01331473]"
20,35,"[-0.03903399  0.00672579 -0.02433045 ... -0.01280135  0.01650366
 -0.00199336]"
21,1388,"[-0.03330141  0.03323115 -0.02191731 ... -0.03461732  0.04654311
  0.00621107]"
22,481,"[ 0.02203722 -0.02482226 -0.0068833  ... -0.03847669  0.01455919
  0.06357672]"
23,10,"[ 0.02319496  0.02296486 -0.04507642 ... -0.01252155  0.01839464
  0.02776849]"
24,1264,"[-0.01369905  0.00091698  0.04671397 ...  0.03586961 -0.03996848
  0.02986857]"
25,1651,"[ 0.04103841 -0.01099702 -0.01943548 ...  0.01099678  0.00718934
  0.01856561]"
26,813,"[-0.00580509 -0.00097092 -0.01064284 ... -0.00350129  0.035433
  0.01463692]"
27,109,"[ 0.02371613  0.03160062  0.01708385 ... -0.01856889  0.02140366
  0.01517476]"
28,855,"[ 0.02248503  0.01972158 -0.011759   ... -0.02084223  0.04165594
  0.00693348]"
29,508,"[-0.01464094 -0.03992637 -0.02915125 ... -0.02998481 -0.00888985
  0.01535424]"
30,819,"[-0.00833579  0.02918271 -0.00667155 ...  0.00157298  0.01251126
  0.0201326 ]"
