Index,True Label,Embedding
0,1664,[ 1.5288574 -1.7162412  1.1453713 ... -2.355478   1.1760744  7.3229327]
1,475,"[-4.7193813   5.628034   -7.724952   ... -0.49248224  1.0301201
 -0.2916474 ]"
2,998,[-5.1022706 -0.6603466  2.730531  ...  7.395925  -1.3359375 -1.0401183]
3,319,"[-3.2367249   2.5192313   0.13663252 ...  2.430276    0.34932
  1.190747  ]"
4,239,[-9.202911  -2.4697418 -3.1876729 ...  8.214433   2.5369825 -5.743079 ]
5,425,"[-12.109296    2.7450147   1.6417094 ...   2.7345414   8.457092
  -3.0147548]"
6,57,"[-1.4385291  -0.46403486  0.2956534  ...  6.061063    2.3840055
  6.444252  ]"
7,772,[ 3.903578  -5.2887173 -9.119628  ...  5.0041776  7.259459  -1.4364023]
8,108,"[-7.1717081e+00 -1.7820262e+00 -5.1297597e-03 ...  5.8178291e+00
  8.3618488e+00  9.6640527e-01]"
9,279,"[-12.287858    -0.51114607   0.75392437 ...   0.12898892   5.7284036
   6.5494375 ]"
10,366,[-1.901128   7.803512  -3.5666215 ...  3.357139   8.907198   4.8333464]
11,60,[-9.889939   0.4515764 -2.3518372 ...  6.0175886 -1.6316015  6.5320845]
12,96,"[-7.097294    1.7385253  -4.6976733  ... -0.36242718 -2.8043184
 -1.8250567 ]"
13,1272,"[-4.7577724  -0.71090907 -1.9953223  ... -1.0452896  -0.02469468
  2.058749  ]"
14,994,[-8.864598  -2.875994   5.4979258 ...  1.9786023  1.6865014 -6.1268764]
15,1777,[-3.9362845 -3.3753567 -4.004802  ... -5.0007634 -2.895425   3.9022725]
16,239,"[-5.264353    2.754185   -0.34101883 ... -4.0680394  -1.5211039
 -2.3590002 ]"
17,346,[-4.6027117 -0.7907388  1.0222462 ...  2.8027024 -1.061154  -1.8634175]
18,152,"[-4.628333   -3.4059615  -6.9244113  ...  6.345879   -0.51198816
 -1.6298243 ]"
19,134,"[-7.338478    8.243635   -4.872991   ... -0.8290792  -0.43385193
 -2.6033025 ]"
20,306,"[ 0.33704075  0.21053623 -1.7626339  ... -2.1397972   1.0035629
 -0.974073  ]"
21,140,[-8.594407   5.3048406 -2.8147347 ... -1.5052122 -2.7554276  3.3094237]
22,300,"[-5.273191    1.2465966   0.66784084 ... -2.6043744   4.126525
 -0.429281  ]"
23,1097,"[ 0.8498444   1.6058697  -4.3030543  ... -4.2277274  -1.3416479
 -0.12500882]"
24,180,"[-14.993262    4.324756   -0.7261097 ...   6.650421   -4.0300784
   8.738737 ]"
25,549,"[-3.122637    0.48162913 -1.4560198  ...  1.9057361   0.17629904
 -1.174334  ]"
26,231,"[-11.504054    6.7364197   3.9567366 ...  -3.1904516   3.8630457
   4.91283  ]"
27,171,"[-3.359653   -0.5956598  -0.26875034 ... -1.527521   -3.3500178
  5.2080665 ]"
28,263,"[-1.8944147   1.3007246   3.0864184  ...  0.38316834  3.8891838
  2.5788145 ]"
29,447,"[-3.5055354   4.5194745  -6.432348   ...  9.234425    2.4952118
 -0.39069182]"
30,1805,"[-3.9082234  -3.1308584   0.14925219 ...  5.706595    1.8207918
 -1.1156949 ]"
31,161,[-1.8409166  1.6530826 -4.5518346 ...  6.6084285  2.9766984  5.0049505]
0,189,[-1.5601858 -4.5854816 -5.6404138 ...  0.7411969  1.4976089  7.3137236]
1,36,"[-8.279912    2.1084762  -3.2469716  ...  0.28934968  1.2934811
 -5.8986864 ]"
2,990,"[-6.7343307   4.3118877   0.3945158  ... -3.683035    1.2749475
  0.76333076]"
3,1150,"[-3.039029   -2.5084329   0.740578   ... 13.210996    3.159824
 -0.64974064]"
4,222,[-8.836121   1.0751818 -6.4865155 ... -4.3241463 -3.0039353  7.892935 ]
5,1138,"[13.242433    3.5511227   2.0698822  ...  3.8511033   0.56446385
 -7.63726   ]"
6,203,"[ -2.3408558   -1.7782282  -11.494414   ...  -1.5763716    0.25495392
   1.4242464 ]"
7,245,[-9.688529   1.5318651 -8.151766  ... -3.0582368 -3.5078688 10.615959 ]
8,119,"[-11.419504   -2.743176    1.2044785 ...   2.1674147   3.1120121
  -0.3236397]"
9,389,[ 2.4673421 -4.8381543  0.962881  ...  3.1817055  1.5268288 -4.604328 ]
10,948,"[-6.7807856  -1.7391692  -0.39651924 ...  1.7118003   2.6577456
 -2.4634163 ]"
11,769,"[-10.769079    -1.0400645   -5.8525977  ...  -0.67778474  -1.197666
   4.921668  ]"
12,902,"[-10.277665     2.3098564   -0.69988567 ...  -0.5282692    3.0033154
   4.9641094 ]"
13,30,"[-8.788772    1.1415019   0.82073456 ... -2.6163802  -0.53145593
  5.027121  ]"
