Index,True Label,Embedding
0,1664,"[ 0.02731679 -0.00038909 -0.00642128 ... -0.00034465 -0.01069233
 -0.01294964]"
1,475,"[-0.01486125 -0.02079153  0.00586544 ... -0.01562458 -0.012768
 -0.01835735]"
2,998,"[ 0.01204091  0.00428308  0.01389051 ... -0.00318422  0.00235243
 -0.03019099]"
3,319,"[ 0.10657388 -0.02667682 -0.00159903 ... -0.01744987 -0.03430353
 -0.01680574]"
4,239,"[ 0.00568115 -0.0102543  -0.00682896 ...  0.00489912 -0.01166501
 -0.01853008]"
5,425,"[-0.00831596  0.01583816 -0.00583587 ...  0.00310493  0.01564753
 -0.00898464]"
6,57,"[ 0.0496991  -0.01982719 -0.00782393 ... -0.00665259  0.0393966
  0.00664194]"
7,772,"[-5.90648549e-03 -8.17659311e-05 -5.39516192e-03 ... -1.58907240e-03
  1.41566675e-02  8.38887412e-03]"
8,108,"[-0.00973765 -0.01466365  0.0013797  ...  0.00235838 -0.00351897
  0.00637359]"
9,279,"[-0.00348378  0.00883888 -0.00431123 ... -0.0017253  -0.00530902
 -0.01219901]"
10,366,"[ 0.00268551  0.01905336 -0.01537049 ...  0.01191737  0.02607828
  0.00327313]"
11,60,"[ 0.00967567 -0.003793   -0.01122574 ... -0.01457692  0.0038508
  0.00403255]"
12,96,"[ 0.00192234 -0.01553891  0.0049735  ... -0.01008715 -0.00354469
 -0.00258978]"
13,1272,"[-0.0046837   0.00182003 -0.00201424 ...  0.00125106 -0.00461602
 -0.00498768]"
14,994,"[ 0.00949797 -0.0081096   0.01262079 ... -0.00546039 -0.00809489
 -0.01524137]"
15,1777,"[ 0.00605879 -0.00865095  0.00281263 ... -0.00329533  0.00743438
 -0.01007855]"
16,239,"[-0.01387813 -0.00820171  0.02408932 ... -0.00640676  0.00478369
 -0.02382023]"
17,346,"[-0.02507872 -0.03011079 -0.00018121 ... -0.0066372   0.02697299
  0.00913342]"
18,152,"[-0.01452913  0.00767524  0.01519678 ...  0.03591839 -0.00647181
 -0.00438447]"
19,134,"[-0.00105054  0.02044141  0.0033547  ... -0.00242975  0.00087033
 -0.01151468]"
20,306,"[-0.00997018 -0.0162058   0.00764795 ... -0.00768757  0.00010306
  0.00359178]"
21,140,"[ 0.01767761 -0.01354953  0.00918103 ... -0.00213422 -0.01298546
  0.00526795]"
22,300,"[ 0.006123   -0.0079625   0.00209875 ... -0.01271945 -0.01362825
 -0.0189261 ]"
23,1097,"[ 0.02542806  0.0031401  -0.00198182 ... -0.0099442   0.01136444
 -0.02151456]"
24,180,"[-0.01412013  0.00298817  0.01042025 ...  0.035705   -0.00351652
 -0.00561855]"
25,549,"[-0.00181775  0.01070964  0.00698172 ... -0.00902164  0.0076325
 -0.00492313]"
26,231,"[-0.01611091 -0.01327708  0.00529492 ... -0.00837926 -0.00140382
 -0.03036601]"
27,171,"[-0.01617479  0.05351077  0.00199929 ... -0.00275921 -0.00770439
 -0.00614998]"
28,263,"[ 0.05740944 -0.00710009  0.00505945 ... -0.01200042  0.0130714
  0.0178386 ]"
29,447,"[-0.01223045  0.0050853  -0.0048714  ... -0.01686943  0.01181848
 -0.00098518]"
30,1805,"[-0.03799411 -0.01922187  0.00661843 ... -0.038806   -0.00941118
 -0.02120957]"
31,161,"[-4.2341021e-03  1.4251348e-02 -4.3149805e-05 ...  9.5246639e-03
  6.8152621e-03  6.9997292e-03]"
0,189,"[ 0.00888315 -0.01587445 -0.00968752 ... -0.02892995 -0.00874871
  0.02591424]"
1,36,"[-0.04174285 -0.02875923  0.02575033 ... -0.00268777 -0.00713015
 -0.02806943]"
2,990,"[-0.01726888 -0.00574943 -0.00671623 ... -0.01186173  0.00705079
 -0.02916102]"
