Index,True Label,Embedding
0,1022,"[ 0.01224948 -0.01969182 -0.00660891 ...  0.03388243 -0.01409205
 -0.00386576]"
1,1423,"[ 0.03156617 -0.01790292 -0.04710549 ... -0.01691549 -0.01916673
 -0.00264931]"
2,329,"[ 0.02669879 -0.02182764 -0.00236307 ...  0.02468875 -0.00547738
 -0.01183288]"
3,660,"[ 0.00115041 -0.04768     0.00633383 ... -0.03188303 -0.00113008
 -0.00778163]"
4,372,"[ 0.10449422 -0.00117195 -0.01725605 ... -0.08654577 -0.04309968
  0.01688982]"
5,1514,"[-0.03146616  0.02193224  0.01753289 ... -0.0025785  -0.03467986
  0.0475938 ]"
6,65,"[ 0.00691843 -0.01274977 -0.00744033 ... -0.00291809  0.0120143
  0.00030489]"
7,1227,"[ 0.02812817 -0.04402357 -0.00842343 ... -0.04014443 -0.00825165
  0.00252344]"
8,1414,"[ 0.04237636 -0.01095466 -0.01869227 ... -0.0154651  -0.00387528
 -0.01853947]"
9,669,"[ 0.03651771  0.01463557 -0.03895412 ...  0.02605513 -0.03360965
 -0.00392903]"
10,1409,"[ 0.01454784 -0.02332925 -0.0049122  ...  0.03474425  0.03618962
 -0.01588418]"
11,39,"[-0.01112457  0.00407782 -0.01077505 ... -0.01070916 -0.04369914
  0.01604166]"
12,1023,"[-0.01348913  0.05695269 -0.02279074 ... -0.02993665  0.0147377
 -0.02342051]"
13,282,"[-0.01285616 -0.02476211  0.04811672 ... -0.02025604  0.02654881
 -0.01251532]"
14,1148,"[-0.01754575  0.01413394  0.00097111 ... -0.02261083 -0.03322248
 -0.02011244]"
15,73,"[ 0.04340088  0.02443297 -0.0414282  ... -0.02420011  0.04101523
 -0.00035898]"
16,3,"[-0.01884035 -0.01885008  0.01419172 ... -0.02949637  0.0288727
 -0.03681631]"
17,356,"[ 0.03044002 -0.00753248 -0.01852189 ...  0.00267896 -0.00306846
 -0.01897745]"
18,4,"[-0.01005603  0.01700829 -0.00896621 ... -0.00211859  0.00386889
 -0.00395307]"
19,460,"[ 0.0201962  -0.03338306 -0.02088764 ... -0.05985877  0.01004805
 -0.03168951]"
