Index,True Label,Embedding
0,1711,"[-0.07551692 -0.1310613   0.00855721 ...  0.10377026 -0.05568048
 -0.04312604]"
1,105,"[-0.04289182 -0.11900919 -0.0919496  ...  0.14068556 -0.09894035
 -0.09415898]"
2,117,"[-0.09286384  0.06979485  0.11093324 ...  0.01348875  0.02546819
 -0.07480273]"
3,147,"[ 0.00970253 -0.06903279 -0.03659648 ...  0.10147998  0.09122907
 -0.04751755]"
4,881,"[ 0.02967887  0.04059278 -0.12252501 ...  0.08071456  0.02764154
 -0.03152915]"
5,842,"[-0.00797183 -0.07153042 -0.03633441 ...  0.09429765  0.02100324
  0.0093823 ]"
6,459,"[ 0.01772234 -0.00914989  0.03273015 ... -0.01900509  0.0859592
 -0.0328621 ]"
7,1766,"[ 0.06275507 -0.01493566  0.00055405 ...  0.00432057 -0.05150035
  0.0099836 ]"
8,355,"[ 0.02283769 -0.01802586 -0.02197424 ...  0.001599    0.01005975
 -0.03456105]"
9,85,"[-0.0988462  -0.01915321  0.0342664  ...  0.1517778   0.03892064
  0.06097014]"
10,675,"[-0.08705575 -0.08109846 -0.00430386 ... -0.02543672 -0.04243538
  0.01273425]"
11,36,"[-0.00579246 -0.04292441 -0.00918792 ...  0.02313302 -0.02950187
 -0.11757462]"
12,240,"[-0.00502614 -0.01198692 -0.06095226 ...  0.07124526 -0.00459667
 -0.00045604]"
13,248,"[ 0.0203637   0.05399051 -0.03879464 ...  0.09883044 -0.03006301
  0.04628163]"
14,460,"[ 0.01822487  0.00422885 -0.06897245 ...  0.09123702  0.01090073
 -0.0504102 ]"
15,256,"[ 0.24208587 -0.10317592  0.0181926  ... -0.03854997 -0.0522927
  0.0990992 ]"
16,712,"[ 0.01955072 -0.02195197  0.06360306 ...  0.0948014   0.0029991
 -0.02409206]"
17,591,"[-0.07250305 -0.0719873  -0.12886716 ...  0.0282277  -0.03232238
 -0.02032532]"
18,763,"[-0.03214753 -0.071543    0.02019268 ...  0.01964769  0.023249
  0.01736874]"
19,762,"[-0.02030661 -0.01104099  0.02911584 ...  0.1188361  -0.00136684
  0.00982019]"
20,128,"[ 0.01687181 -0.02458299  0.03058661 ... -0.08491008 -0.00617963
  0.01997289]"
21,126,"[ 0.04949859 -0.02339098  0.05544215 ...  0.08454107 -0.02260797
 -0.01466479]"
22,907,"[ 0.06485361 -0.01417556 -0.01163149 ... -0.0030371  -0.03976415
 -0.05777708]"
23,1759,"[-0.0716218   0.04883664 -0.0033538  ... -0.03617113 -0.00530547
 -0.0663129 ]"
24,89,"[-0.06392082  0.02056605  0.01964331 ... -0.01208676  0.11071399
  0.01850241]"
25,367,"[ 0.07215221 -0.03515013  0.08420922 ...  0.0609555   0.0485304
 -0.07315202]"
26,1747,"[-0.00334462  0.02846216 -0.00768931 ... -0.01104728  0.1756552
  0.02098402]"
27,102,"[ 0.05246976  0.00672277  0.04251882 ...  0.0494084  -0.04899574
 -0.08550056]"
28,27,"[ 0.08242141 -0.00655077 -0.04431342 ...  0.02823067 -0.03628768
  0.01293567]"
29,473,"[ 0.00772317 -0.12585358  0.19196701 ... -0.00633294  0.00259178
 -0.07646067]"
30,706,"[ 0.00475825 -0.01805648 -0.00437211 ...  0.05733475  0.00246178
 -0.00119764]"
31,717,"[ 0.08338115 -0.01478339 -0.01758513 ... -0.05874437  0.00258618
  0.02801314]"
0,583,"[ 0.052091   -0.00913467 -0.00205156 ...  0.00394578  0.03218591
 -0.060061  ]"
1,853,"[-0.04877289 -0.06385996  0.01527719 ... -0.13586608  0.16443537
 -0.05591346]"
2,27,"[ 0.086393   -0.03889599  0.0661114  ... -0.00566101  0.040845
 -0.03336807]"
3,7,"[-0.04532403 -0.16924067 -0.02910075 ...  0.0210764  -0.0235154
 -0.02872113]"
