Index,True Label,Embedding
0,360,"[ 0.02463079  0.02744217  0.01220896 ...  0.00269785 -0.02395224
 -0.02525249]"
1,433,"[-4.6525124e-02  3.2065876e-03 -3.4166254e-02 ...  4.9795257e-05
  3.5574555e-02  5.5335816e-02]"
2,5,"[ 0.045565    0.01187017  0.00290579 ...  0.01597466 -0.01264362
 -0.00284451]"
3,51,"[ 0.045483    0.03849949  0.04120528 ...  0.01913541 -0.02349188
  0.09292954]"
4,245,"[ 0.07566678  0.00256924 -0.04874073 ... -0.01694527 -0.03839619
 -0.02519877]"
5,389,"[ 0.0504436  -0.00366292 -0.02075892 ... -0.00029763 -0.04088067
 -0.01121147]"
6,85,"[ 0.01499894 -0.01216132  0.01599584 ...  0.0074543  -0.0240598
 -0.03030119]"
7,274,"[ 0.03564548 -0.02124988  0.0051955  ...  0.02068047  0.0081087
 -0.00122   ]"
8,78,[0.02140338 0.00474168 0.02345167 ... 0.00375053 0.01555842 0.05397405]
9,244,"[ 0.02196657 -0.01709325  0.01173265 ...  0.02982712  0.01840085
  0.02562588]"
10,188,"[ 0.03906855  0.00873385 -0.03351842 ...  0.01278746 -0.01813785
 -0.0257277 ]"
11,77,"[-0.02553346 -0.00920496 -0.01026417 ...  0.004344   -0.02755759
 -0.00381371]"
12,279,"[-0.01099632 -0.02832313 -0.0170816  ...  0.03753003 -0.01126708
  0.02438021]"
13,310,"[-0.00718796 -0.02085683  0.01804949 ... -0.03158678  0.00069251
 -0.01485897]"
14,450,"[ 0.12118776 -0.00990636  0.02135748 ... -0.02432342 -0.01547685
  0.0193951 ]"
15,319,"[ 0.07528438  0.02525869 -0.02027819 ... -0.00147267  0.03714546
  0.02691333]"
16,134,"[ 0.05152539 -0.00969224 -0.0151259  ...  0.02317159  0.03073396
 -0.05286442]"
17,175,"[-0.00126028 -0.01958626 -0.02732304 ...  0.02214352 -0.02415371
 -0.0321392 ]"
18,210,"[-0.00396138 -0.01879916 -0.00358422 ... -0.02095931 -0.01044215
  0.02994823]"
19,206,"[-0.01799732 -0.00276887  0.00370051 ... -0.03396031  0.00608186
  0.00268049]"
20,98,"[ 0.00451441  0.00046491 -0.01699166 ...  0.00837433  0.03944939
  0.01294737]"
21,226,"[-0.05404577  0.001863   -0.01727931 ...  0.00408759 -0.01071846
  0.01501108]"
22,199,"[-0.01157932 -0.01792625  0.00502369 ... -0.00682649 -0.01710314
  0.01533953]"
23,460,"[ 0.07275555  0.01102339  0.00557224 ... -0.00219879  0.03063991
 -0.01639183]"
24,388,"[-0.00680713 -0.04328938  0.00040101 ...  0.01256686 -0.0189942
  0.04830999]"
25,157,"[ 0.02423873 -0.03699412  0.01163878 ... -0.01851105  0.01973203
 -0.01001466]"
26,451,"[ 0.08088431 -0.02754009  0.07266442 ...  0.00741281  0.00360883
  0.04276282]"
27,341,"[-0.01937846 -0.00122942 -0.02414645 ... -0.02785136 -0.01063456
 -0.01494061]"
28,111,"[ 0.01283001  0.00225781 -0.02006174 ...  0.02313963  0.00556625
 -0.00141543]"
29,394,"[-0.01558349 -0.01757864 -0.01577264 ... -0.00800058 -0.03633925
 -0.01801349]"
30,181,"[ 0.04841737 -0.00997096  0.03119161 ... -0.00572694  0.07471245
  0.00410071]"
