Index,True Label,Embedding
0,247,"[ 0.0149197   0.00532958 -0.01331824 ... -0.0148468  -0.01622531
 -0.0025202 ]"
1,250,"[-0.02260768  0.0038728   0.0144325  ... -0.04009158 -0.00764835
 -0.00518167]"
2,461,"[-0.01638495  0.00970904  0.01690933 ... -0.01104667 -0.01978978
  0.02758764]"
3,95,"[-0.01416763  0.03087562  0.01011845 ...  0.06317121 -0.00156416
  0.00201713]"
4,239,"[ 0.00928022  0.00049357 -0.02662539 ...  0.05771519 -0.0375467
  0.00411588]"
5,480,"[-0.00307888 -0.00652233 -0.0306599  ... -0.04769689  0.04076053
 -0.02781661]"
6,311,"[ 0.05830237  0.00782115 -0.02635062 ...  0.02921348 -0.00875751
  0.00591083]"
7,456,"[ 0.01831577 -0.03189389 -0.02081626 ... -0.02712836  0.03618719
  0.1073746 ]"
8,439,"[ 0.02749724  0.03884882  0.00889878 ...  0.04562144  0.00491728
 -0.02579579]"
9,432,"[ 0.03074664 -0.02058901  0.00531175 ... -0.02743253  0.05766664
  0.05403544]"
10,395,"[ 0.0186235  -0.00961045 -0.02853884 ... -0.02188747  0.00323326
  0.05133179]"
11,39,"[-0.01440343  0.05947969  0.03829528 ...  0.00670972  0.00928961
  0.06456271]"
12,33,[0.02738284 0.01868862 0.01502106 ... 0.03429787 0.00823688 0.01655825]
13,485,"[-0.01016209 -0.01355482  0.01641194 ... -0.02474058  0.02018465
  0.06431432]"
14,108,"[ 0.01278791 -0.04359808 -0.01925373 ...  0.0005431  -0.02956359
 -0.04968366]"
15,63,"[ 0.00885234 -0.01520588 -0.02252005 ... -0.00815821  0.00986271
  0.03293508]"
16,136,"[ 0.03426494 -0.01287305 -0.02839517 ...  0.02493635 -0.03969267
 -0.00134204]"
17,246,"[-0.01103391  0.01493675 -0.03064436 ... -0.04660184 -0.01721863
  0.03764307]"
18,224,"[-0.02119716  0.03952108 -0.0549388  ...  0.02361413  0.0045286
  0.05515998]"
19,273,"[-0.00036286 -0.02501672 -0.03067457 ... -0.01700608 -0.0028341
  0.03408584]"
20,193,"[ 0.02058936  0.01429613 -0.01133835 ...  0.01333039  0.02753734
 -0.00164437]"
21,383,"[-0.03088748  0.00180042 -0.0006492  ... -0.02799851 -0.01410624
  0.0089086 ]"
22,389,"[ 0.05068721 -0.00443607  0.00235991 ... -0.04371353  0.03318239
  0.00311566]"
23,18,"[ 0.08288602  0.01101714 -0.00977969 ... -0.03019838  0.00439027
 -0.0176163 ]"
24,75,"[-0.03169935 -0.01311141 -0.02160287 ...  0.00846735  0.04517099
  0.05621792]"
25,238,"[-0.0265056   0.03111948 -0.01114674 ... -0.039157   -0.00145053
 -0.00745594]"
26,190,"[-0.03135476  0.00250111 -0.0034287  ... -0.02984817  0.01107875
 -0.01331279]"
27,194,"[ 0.00832267  0.03353184 -0.00590125 ... -0.00196557 -0.030727
  0.03250491]"
28,1,"[-0.05013824  0.04495326  0.00718446 ... -0.02985636  0.00229369
  0.05511148]"
29,478,"[-0.04878509 -0.00623853 -0.01532992 ...  0.00236266  0.0277097
  0.01765523]"
30,160,"[ 0.01963106 -0.02072786 -0.00174116 ...  0.0446198  -0.00365734
  0.05718131]"
31,463,"[ 0.00082513  0.01243135 -0.03945514 ...  0.00165612 -0.00699834
 -0.011597  ]"
0,483,"[ 1.34812575e-02 -1.38079301e-02 -9.88285430e-03 ... -5.63604198e-02
 -1.45905651e-05  2.32254453e-02]"
1,117,"[-0.00897169  0.01471951  0.01013642 ...  0.02521843  0.05035304
  0.00312733]"
2,166,"[ 0.04645257 -0.01020339  0.00389646 ...  0.0142086   0.04566749
 -0.00847805]"
3,201,"[ 0.06992681  0.00190707  0.00066239 ... -0.01902761 -0.01240558
  0.01444338]"
4,187,"[-0.01515634 -0.01346806 -0.000438   ... -0.00063774 -0.01491457
  0.07941342]"
5,232,"[-0.04077192  0.02370947  0.02565845 ... -0.03774161  0.03154587
 -0.02208978]"
6,386,"[ 0.01940702 -0.00102782 -0.05316521 ...  0.00647454 -0.00834282
  0.01795528]"
7,157,"[ 0.043873   -0.03254901  0.00410415 ... -0.02984778 -0.0026536
  0.02647208]"
8,13,"[ 0.05775359  0.0342359   0.02689759 ... -0.03952845 -0.03138604
 -0.02777281]"
9,149,"[ 0.00173755 -0.02746324 -0.02050735 ... -0.03720523 -0.0085018
  0.01650609]"
