Index,True Label,Embedding
0,360,[-6.050388  -3.4798975 -0.9746117 ... 11.542866   3.3247092  6.135039 ]
1,433,"[ 0.15639666  5.859891    4.3722434  ... -2.425599    2.3873115
  2.5876093 ]"
2,5,"[-12.354331   -4.9927664   1.9377596 ...   4.048695    6.572569
   9.665524 ]"
3,51,"[-5.900541    1.5027848  -0.58938855 ... -0.15879133  9.068098
  9.913744  ]"
4,245,"[-8.709455   -1.7709904   1.6606418  ... -3.9460597   0.83169997
  6.688114  ]"
5,389,[-1.4404557 -1.6071926  1.9125413 ... -1.5730349  2.3876452 -0.8127053]
6,85,"[-13.0964985  -1.8351732   6.0422263 ...   9.306168   10.430438
  -0.2597919]"
7,274,"[-10.906911   -1.5480845  -1.603521  ...  -0.6661834   4.8767843
  -1.2464993]"
8,78,"[-7.6238317  -4.473705    0.31077543 ... -0.7842037   7.015331
  5.50097   ]"
9,244,[-5.1431713 -4.880922   3.9740245 ...  6.549338   6.0252056  3.8128695]
10,188,[-2.969729  -0.5535557 -1.9045066 ... -1.147659   5.525736  14.7037945]
11,77,"[-11.149275    -0.13228653  -2.4217823  ...   1.8373182    5.272593
   3.882532  ]"
12,279,[2.3677843 0.807576  3.4366362 ... 7.311567  6.4776053 2.7559981]
13,310,"[-4.575945    1.0905287  -4.3309216  ...  0.42649537  1.0448906
  7.34627   ]"
14,450,[-7.0307245  1.4961499 -6.159265  ...  5.746679  -0.7247511  6.678127 ]
15,319,[-2.5080945 -2.8960106 -3.4896488 ...  1.4488276  2.3713908  8.435797 ]
16,134,"[-12.567842   -4.0721836  -3.3715594 ...  -1.7322596   1.081229
  11.103075 ]"
17,175,"[-8.729145    1.2686415  -0.38555396 ...  6.502907    2.2832017
 -0.03159067]"
18,210,[1.907494  6.0839043 1.3127985 ... 0.2069006 8.65123   8.059226 ]
19,206,"[-5.755054   -1.6164845  -4.0684495  ... -1.0339622  -0.13201436
 -1.2050445 ]"
20,98,[-9.84397   -1.5255201  1.8781673 ...  2.2676005  1.2504771  4.2049227]
21,226,"[-4.1025915  -0.08215921 -2.7952116  ... -4.144069    5.6380982
  4.6042147 ]"
22,199,[-1.2586731  2.736432  -1.3472759 ...  2.7170777 11.33842   -2.4610748]
23,460,[-5.0160584  1.4243834  1.3030814 ...  1.7850677  2.414885   1.4566369]
24,388,"[-11.075101    -2.7052987    0.33185703 ...   1.5301908    3.482298
   5.077544  ]"
25,157,"[-18.15166     -3.04739     -0.64400303 ...   5.5484786    6.302555
   7.1866274 ]"
26,451,"[-9.01771    -3.972695   -3.9312031  ...  5.1377497  -0.65134656
  5.4945126 ]"
27,341,[-8.293357  -5.8416643  2.6855576 ... -0.8661773 -0.6744764  6.726001 ]
28,111,"[ 5.956724   -0.27720815  0.54141843 ...  3.4616466   3.4435725
 -1.4518707 ]"
