Index,True Label,Embedding
0,360,"[ 0.01103119 -0.01561547  0.0020223  ...  0.0490563  -0.00043984
  0.02236002]"
1,6,"[-0.01153613  0.00384538 -0.00789704 ...  0.0093994   0.02151662
  0.02833579]"
2,12,"[ 0.01655494  0.01198274 -0.02123373 ...  0.01434444  0.01689882
  0.02251306]"
3,251,[0.01129945 0.00496073 0.00506144 ... 0.00608635 0.00296107 0.04225436]
4,172,"[-0.02029886  0.00077552 -0.00612231 ...  0.00694663  0.00427452
 -0.00237344]"
5,370,"[ 0.02779963 -0.00291017 -0.02502352 ...  0.0407543  -0.00566459
  0.03295222]"
6,138,"[-0.01086406  0.01755985 -0.00635175 ...  0.01027844  0.00013571
  0.02873433]"
7,455,"[ 0.01301491  0.01158375  0.00802034 ...  0.03007783  0.02045685
 -0.01262677]"
8,156,"[-0.01705102  0.0100658  -0.01707458 ... -0.01461745  0.02512979
  0.01638018]"
9,271,"[-0.02638119 -0.00206021 -0.00799616 ...  0.00364635 -0.00085399
  0.00240141]"
10,447,"[ 0.04222436  0.00279028 -0.0100358  ...  0.04332529 -0.0021539
  0.0372134 ]"
11,449,"[-0.00302994  0.00776176 -0.01346869 ...  0.00856297  0.00674085
  0.01154067]"
12,327,"[-0.00754855  0.02502456 -0.00974491 ...  0.02420406  0.00508191
  0.03203606]"
13,166,"[ 0.00323442  0.01455591 -0.00380734 ...  0.00430493  0.00378806
  0.01733449]"
14,112,"[-0.00840872  0.01171462 -0.03031797 ...  0.03192387 -0.00284529
 -0.00887607]"
15,244,"[ 0.02296112  0.06565405 -0.03914454 ...  0.07279699 -0.00504851
 -0.01039094]"
16,238,"[ 0.00084547  0.01664017 -0.01366829 ...  0.01983418  0.01137828
 -0.01854864]"
17,317,"[ 0.01708339  0.02350701 -0.02700701 ...  0.03095293  0.00332837
  0.05087256]"
18,78,"[ 0.00540245  0.00166408 -0.01300659 ...  0.02283588  0.00337567
  0.02944828]"
19,102,"[ 0.02944732  0.0043611  -0.02979821 ...  0.00724213 -0.01372284
  0.0124276 ]"
20,355,"[-0.0201087  -0.00356438 -0.01584148 ... -0.00516907  0.02204843
  0.00728328]"
21,283,"[-0.01884241  0.01720189 -0.0070776  ...  0.01641192  0.00660545
  0.04406435]"
22,356,"[ 0.0153054   0.00373818 -0.01805727 ...  0.00854374  0.0083933
  0.00139376]"
23,289,"[ 0.01782442  0.01129957 -0.0181311  ...  0.0217266   0.01218209
  0.00666463]"
24,354,"[-0.01760571 -0.00381414  0.00848227 ...  0.00921098  0.01296547
  0.01012557]"
25,423,"[ 0.00775224  0.03401301 -0.02337304 ...  0.02663106 -0.00084201
  0.03707917]"
26,223,"[ 0.00722689 -0.00490702 -0.01220464 ...  0.00519623  0.00074807
  0.03219267]"
27,384,"[ 0.00679924  0.00628543  0.00655094 ...  0.01388546 -0.00886855
  0.01487137]"
28,270,"[-0.01460087  0.01289172  0.00209204 ...  0.01168072  0.00656915
 -0.00632667]"
29,26,"[-1.2288581e-02  4.5439065e-03 -1.2669924e-02 ...  2.9139850e-02
  9.8362565e-05  3.2002062e-02]"
30,98,"[ 0.01595419 -0.0009413   0.00097966 ...  0.01509655  0.0052888
  0.01812178]"
31,437,"[ 0.00387367  0.00354517  0.00207168 ...  0.00386057  0.00911879
 -0.00109797]"
0,396,"[-0.01267007  0.01948322 -0.00364072 ...  0.04799449 -0.01889049
  0.01950754]"
1,429,"[-0.00985808 -0.00194606  0.00380863 ...  0.01288429  0.00918187
  0.02174705]"
2,157,"[-0.02934608  0.00591232  0.00746026 ...  0.00605301  0.04450163
  0.01495785]"
3,168,"[-0.00116245 -0.00507652 -0.02027836 ...  0.00412151  0.00459983
  0.02770289]"
4,275,"[ 0.00750386  0.00415429 -0.01427128 ...  0.02402247 -0.00558696
 -0.00391878]"
5,398,"[-0.00513041  0.02705379 -0.00732192 ...  0.02500875 -0.01580168
  0.01370144]"
6,206,"[-0.00790703  0.02835329 -0.00452202 ...  0.03989154  0.0144732
  0.06598025]"
7,177,"[-0.02717872 -0.02005966 -0.01021351 ... -0.0163294   0.00123438
  0.00244893]"
8,232,"[-0.0074764   0.01482035 -0.01588064 ...  0.04995779  0.00241926
  0.03258219]"
9,392,"[-0.00575398  0.01150971  0.02264687 ...  0.00054559  0.01137999
 -0.02546735]"
10,60,"[ 0.00865908  0.00239867 -0.02216092 ...  0.00116069  0.00035335
  0.02066085]"
11,460,"[ 0.00634265 -0.01104097 -0.02238284 ...  0.01308081  0.01002264
  0.02973954]"
12,91,"[-0.00841868  0.00787644 -0.01228135 ...  0.02138639  0.02377003
  0.01943931]"
13,295,"[-0.02202936  0.02837746 -0.00064774 ...  0.043893    0.00773767
  0.01198499]"
14,96,"[-0.01690943  0.01784359 -0.0166993  ... -0.00563658  0.02917265
  0.01239993]"
15,262,"[ 0.01984368 -0.00141233 -0.01720248 ...  0.01030187  0.00452862
 -0.00093272]"
16,284,"[-0.00951258 -0.00883293 -0.00022088 ...  0.00993825  0.02723961
  0.03579413]"
17,340,"[-0.02219096  0.01251096 -0.03285369 ...  0.02114692  0.00321435
 -0.01043924]"
18,177,"[ 0.01113895 -0.00053081 -0.01321695 ...  0.01055186  0.00514007
  0.01974021]"
19,465,"[ 0.00566774  0.00170677 -0.00248453 ...  0.01475703  0.0016177
  0.04061124]"
20,133,"[-0.01191915  0.00457129  0.00249859 ...  0.02151172  0.00975624
  0.03703   ]"
21,137,"[ 0.04076852  0.01634273 -0.00145801 ...  0.02067788  0.00533823
  0.01721084]"
22,232,"[ 0.00890492  0.00447127 -0.02678612 ...  0.02170121  0.01566808
  0.02809239]"
23,295,"[-0.02173382 -0.00395048  0.01063486 ...  0.01579235  0.02544066
  0.01097104]"
24,38,"[-0.01081046  0.00942094  0.01050176 ...  0.00939112 -0.0018926
  0.00917914]"
25,285,"[-0.02708051 -0.03002313  0.01576052 ...  0.00368153  0.00061251
 -0.03293496]"
26,153,[0.04726615 0.00387339 0.00491187 ... 0.03403082 0.0168443  0.04048215]
27,4,"[-0.0319227   0.02536414  0.00017115 ...  0.00254644  0.00588551
  0.00663414]"
28,272,"[-0.00685287 -0.00262009 -0.0182234  ...  0.02373625  0.01430833
  0.04672484]"
29,479,"[-0.02126724  0.00492904  0.00131848 ...  0.05711004 -0.0027394
  0.01059658]"
30,469,"[-0.00628878  0.01102336 -0.01703245 ...  0.01357788  0.04454403
  0.01031119]"
31,23,"[-0.01640572  0.00353477 -0.00683462 ...  0.00166801  0.01786624
 -0.0060333 ]"
0,292,"[-0.02582561 -0.00619237 -0.0113365  ... -0.01560645  0.01709527
 -0.00835038]"
1,261,"[-0.00051339  0.01390925 -0.0120594  ...  0.01961913 -0.00446081
  0.00964649]"
2,385,"[ 0.00561341  0.00035541 -0.01728696 ...  0.01783038  0.00470232
  0.02684433]"
3,7,"[ 0.00036396  0.01281627 -0.01818716 ...  0.02181962  0.00839554
  0.03146156]"
4,140,"[-0.02468702  0.0119482   0.00187372 ...  0.00676526  0.00491816
 -0.01884376]"
5,36,"[-0.00249182 -0.00474634 -0.0401145  ...  0.02011219  0.02818538
  0.02973331]"
6,277,"[-0.00999046  0.0034155  -0.02822459 ...  0.02391353  0.0154442
  0.02687861]"
7,10,"[ 0.00445969 -0.0032683  -0.02097496 ...  0.01426585 -0.00744973
  0.0345538 ]"
8,322,"[ 0.02379039  0.00758804 -0.01013751 ...  0.01242677 -0.00274665
 -0.00247797]"
9,373,"[ 0.00728386 -0.0155144  -0.03483074 ... -0.0073999  -0.00765022
  0.03200386]"
10,444,"[-0.02382895 -0.00288662 -0.01853009 ...  0.00114108 -0.00058709
  0.01273061]"
11,375,"[ 0.01009301  0.02065402  0.02272212 ...  0.0144661   0.01120677
 -0.00600037]"
12,314,"[-0.00053705  0.01888398 -0.01373062 ...  0.00707865  0.02497521
  0.01972992]"
13,358,"[ 0.00209356  0.0160392  -0.00720737 ...  0.01326602  0.01734015
  0.02659721]"
14,130,"[-0.01314558  0.00066791 -0.00902486 ... -0.00635724 -0.00567001
  0.02457787]"
15,345,"[ 0.02918488  0.00042581 -0.01082313 ...  0.01196487  0.00358808
  0.03640643]"
16,462,"[ 0.00552267  0.0037946  -0.03045272 ...  0.03484755  0.01734943
  0.03581455]"
17,186,"[-0.01960615  0.00975932 -0.00861683 ...  0.01968415  0.00858668
  0.02750126]"
18,451,"[ 2.0325845e-03  3.2629482e-02 -1.2025489e-02 ...  4.7231909e-02
  8.0372188e-03 -4.3389387e-05]"
19,464,"[-0.00233033  0.00563917 -0.00503414 ...  0.01210648  0.00404177
  0.01936742]"
20,462,"[-0.01139752 -0.0016431  -0.03085686 ... -0.00241725  0.01341575
  0.02279463]"
21,264,"[ 0.00251187  0.01442562 -0.007754   ...  0.01517954 -0.00204578
 -0.00270475]"
22,301,"[ 0.01842831  0.0018151  -0.01224637 ...  0.02799759  0.02242427
  0.0279195 ]"
23,366,"[ 0.00874953  0.00131256 -0.0506601  ...  0.05460115  0.00145587
 -0.00308032]"
24,475,"[ 0.01112675 -0.00361437 -0.01034198 ...  0.00524454  0.02370394
  0.05056994]"
25,184,"[ 0.04409825 -0.02105513 -0.01681679 ...  0.02059842 -0.0024246
  0.03173488]"
26,38,"[ 0.02681486 -0.00303778 -0.02869894 ...  0.00919493  0.00355337
  0.00962684]"
27,341,"[ 0.00027253  0.00750502 -0.011909   ...  0.00283688  0.01241292
  0.00793563]"
28,60,"[ 0.00102196  0.02576628 -0.02190469 ...  0.04907832  0.02394294
  0.00859868]"
29,245,"[ 0.00046131  0.0019645  -0.01938856 ...  0.00586385  0.0042813
  0.0031615 ]"
30,347,"[-0.0283078   0.00363333 -0.01134914 ...  0.03960765  0.01590248
  0.0031093 ]"
31,413,"[-0.03544547  0.00335452  0.00325556 ...  0.01051041 -0.01238777
 -0.00810919]"
0,337,"[-0.00739564  0.02443297 -0.02391118 ...  0.03973145  0.03573219
 -0.0006993 ]"
1,23,"[-0.00774089  0.01329091 -0.01674693 ...  0.00822624  0.01297778
  0.01508315]"
2,122,"[-0.00972317  0.01494002 -0.01218401 ...  0.01047986  0.01003362
  0.0034471 ]"
3,497,"[-0.00106682 -0.00335241 -0.02256138 ...  0.02230706  0.03344662
  0.05713936]"
4,86,"[ 0.00739092  0.00509054 -0.02221533 ... -0.01871291  0.02441422
  0.04282247]"
5,178,"[-0.02155931  0.00013491 -0.03543829 ...  0.00540561  0.03135649
  0.02061244]"
6,484,"[-0.00457685  0.0116376   0.00963559 ... -0.00280818  0.00395429
  0.02804031]"
7,256,"[-0.00466583  0.01482005  0.00301095 ...  0.0235298  -0.01307278
  0.0218133 ]"
8,156,"[ 0.03574527  0.01150244 -0.01193556 ...  0.01732403  0.00501512
  0.02651032]"
9,337,[0.0134349  0.00016615 0.00511841 ... 0.0036006  0.00057068 0.02016653]
10,483,"[ 0.00036163  0.00998082 -0.01587228 ...  0.02951881  0.02276658
  0.00024815]"
11,267,"[ 0.03891361  0.01668846 -0.00897034 ...  0.03006474  0.00295636
  0.03160397]"
