Index,True Label,Embedding
0,415,"[-0.00727888 -0.00588421  0.04609089 ...  0.00805013 -0.02144569
 -0.03661391]"
1,457,"[-0.00233106  0.00818741  0.00054692 ... -0.01317862 -0.02126968
  0.00433792]"
2,393,"[ 0.01556438 -0.00421379  0.02548362 ... -0.01614351  0.03058713
 -0.00230501]"
3,36,"[-0.02018362 -0.03641994 -0.0222863  ...  0.03706822  0.03847253
 -0.03541185]"
4,294,"[ 0.01954922 -0.01779839  0.01964647 ...  0.02577364 -0.02571657
 -0.01521435]"
5,155,"[-0.0060299   0.02173201  0.01953053 ...  0.00269206 -0.00993825
  0.0080251 ]"
6,90,"[-0.01866352 -0.03414527  0.03861928 ...  0.00584954 -0.03281776
  0.03113141]"
7,223,"[-0.00224072 -0.0339493   0.00351125 ...  0.02378112  0.01435965
 -0.02839284]"
8,485,"[ 0.05532182 -0.01053548  0.01931241 ...  0.02665088  0.00534567
  0.02553312]"
9,477,"[-0.02603513 -0.02031412 -0.02093054 ...  0.05602159 -0.02998942
 -0.01627129]"
10,95,"[ 0.00458441  0.0145503   0.01343712 ... -0.03115763 -0.01144958
 -0.01292633]"
11,444,"[ 0.00534574  0.00229602 -0.01956476 ... -0.01995346 -0.01552158
  0.00965348]"
12,278,"[-0.02493487 -0.00816146 -0.0077754  ...  0.03201342 -0.04157713
  0.00778405]"
13,94,"[-0.00597678  0.00852177 -0.0445681  ... -0.02160677 -0.00428158
  0.02549758]"
14,488,"[ 0.00672571  0.00249293 -0.02816368 ...  0.04084023 -0.03581861
 -0.01758168]"
15,435,"[ 0.02554008 -0.01965576  0.01644105 ...  0.00732626 -0.02375559
 -0.02259252]"
16,229,"[-0.04028766 -0.01574948 -0.00633123 ...  0.02282     0.00903846
  0.04795511]"
17,43,"[-0.01832509 -0.00282108  0.02308101 ...  0.02204745  0.02398903
 -0.01856913]"
18,151,"[-0.00342749 -0.00792687 -0.00114399 ...  0.01795619  0.00188557
 -0.02094669]"
19,490,"[ 0.00489867 -0.04115414 -0.01458092 ... -0.04645785 -0.00680995
  0.00349388]"
20,381,"[ 0.01882566 -0.00340378 -0.01219691 ...  0.01204262 -0.00625493
  0.02511732]"
21,27,"[-0.03396928 -0.0251957   0.00527639 ...  0.04863043 -0.00152263
  0.02709161]"
22,434,"[ 0.0196378  -0.0461013   0.00302862 ...  0.04654673  0.02462336
 -0.00773748]"
23,43,"[ 0.01772556  0.00937073  0.00671723 ...  0.00933256  0.00689659
 -0.03187526]"
24,178,"[ 0.04418857 -0.02702303 -0.01544836 ... -0.03375075  0.01970156
  0.006987  ]"
25,238,"[ 0.03192606 -0.00106003  0.04241615 ... -0.01389302  0.00354372
 -0.0024726 ]"
26,313,"[ 0.05299153  0.01531759 -0.02693091 ... -0.01587711  0.0012067
 -0.00062694]"
27,19,"[ 0.02782724 -0.03415889  0.00371711 ... -0.00606447 -0.00850134
  0.00034191]"
28,81,"[-4.2012781e-02 -2.8049573e-05 -2.8418388e-02 ...  1.6396619e-02
  1.2073489e-02 -1.2319541e-02]"
29,404,"[ 0.02832289 -0.03420231  0.04521235 ... -0.01999197 -0.03464879
 -0.03073775]"
30,38,"[ 0.01420296 -0.02584177 -0.03127198 ... -0.03338817 -0.05371289
  0.00116169]"
31,303,"[ 0.01733169  0.01820256 -0.00930947 ...  0.0181203   0.0703406
  0.00347018]"
0,495,"[ 0.05133214  0.01221651 -0.04619813 ...  0.03885828  0.01547473
 -0.00635242]"
