Index,True Label,Embedding
0,247,"[ 0.04039923 -0.12087343  0.11463115 ... -0.06725465 -0.09157073
 -0.01131161]"
1,250,"[-0.0834377  -0.07683668  0.05532788 ... -0.02309678  0.01252871
 -0.05413821]"
2,461,"[-0.04591655 -0.04891328 -0.00955152 ...  0.05880028  0.03921309
  0.05596856]"
3,95,"[ 0.00358015  0.0528475  -0.02892946 ...  0.05372625  0.01855653
 -0.03925443]"
4,239,"[ 0.00993745 -0.04108356 -0.02939188 ...  0.29684988  0.01097373
 -0.0085217 ]"
5,480,"[-0.05345617 -0.06377084  0.10809893 ...  0.09243019  0.00324675
  0.0146404 ]"
6,311,"[-0.0305557   0.07897577 -0.03487146 ...  0.10744015  0.02740684
 -0.01753655]"
7,456,"[ 0.05176143 -0.03188385 -0.03715404 ...  0.04576668 -0.03068977
  0.07502256]"
8,439,[0.02450663 0.12039576 0.07900085 ... 0.05511471 0.0164352  0.04292471]
9,432,"[ 0.0116152   0.02725978 -0.03044984 ...  0.0881679   0.27500877
  0.07409275]"
10,395,"[-0.07052033 -0.04499558  0.01305095 ... -0.05230007  0.07886893
 -0.02658579]"
11,39,"[-0.08196982  0.06452299 -0.08467355 ... -0.06540709  0.03046552
 -0.13003106]"
12,33,"[ 0.10620731 -0.10371078 -0.02389244 ...  0.10997293 -0.05752614
 -0.08868153]"
13,485,"[ 0.063174   -0.10985386 -0.08598451 ...  0.06937112  0.07207104
  0.05104956]"
14,108,"[-0.00150064 -0.07653589 -0.02302268 ...  0.06964453 -0.01681805
  0.02200775]"
15,63,"[-0.07803204 -0.00390896 -0.07410796 ...  0.02861913  0.0087564
 -0.06223014]"
16,136,"[-0.08336052  0.06308293 -0.06099812 ...  0.11727342  0.15120336
 -0.01673416]"
17,246,"[-0.07981697 -0.03017756 -0.01812613 ...  0.01656923  0.0366501
  0.00361716]"
18,224,"[-0.04283444 -0.02209079 -0.04066225 ...  0.15463263  0.05927734
 -0.12089431]"
19,273,"[-0.08022659  0.06885125 -0.11423446 ...  0.04150561  0.01297535
 -0.03950538]"
20,193,"[-0.05865239  0.03342134 -0.12721716 ...  0.02774384 -0.08219944
  0.06298139]"
21,383,"[-0.16380782 -0.06764089  0.0576469  ...  0.3255586   0.06764024
 -0.05256961]"
22,389,"[-0.05461217  0.05533109 -0.03046878 ...  0.16780801  0.09389652
  0.07959633]"
23,18,"[-0.05664664 -0.05102599  0.06847447 ...  0.05182455  0.05136573
 -0.0679865 ]"
24,75,"[ 0.0601656   0.15638264 -0.00843499 ... -0.00104611 -0.05711019
  0.00105356]"
25,238,"[-0.08460563  0.0313682   0.00396304 ...  0.08294763  0.14951406
 -0.01178722]"
26,190,"[ 0.05796663 -0.03504344 -0.02291793 ...  0.0067065   0.06158652
  0.02221286]"
27,194,"[-0.00667568 -0.00023322  0.0342787  ... -0.01631927  0.03015626
 -0.03005693]"
28,1,"[-0.10702799 -0.09115187 -0.05132623 ...  0.06338213 -0.06345712
 -0.00976287]"
29,478,"[ 0.10556382 -0.02473026 -0.05688167 ...  0.00368944  0.04826198
 -0.00122526]"
30,160,"[ 0.05694514  0.01859751 -0.03068302 ...  0.11628481  0.03195955
 -0.01350759]"
31,463,"[ 0.06348904 -0.14776024 -0.0015386  ...  0.25127986  0.01066468
 -0.04500226]"
0,483,"[-0.04172387 -0.03145496  0.00943387 ... -0.06456248  0.11964238
  0.01505728]"
1,117,"[ 0.04330494  0.01785357  0.0349549  ...  0.12153752 -0.06338473
 -0.06288634]"
2,166,"[-0.07142322 -0.02088914  0.12649122 ...  0.11722461  0.02963371
  0.06721871]"
3,201,"[ 0.0122072  -0.02660387 -0.07967624 ...  0.03714166 -0.08872821
 -0.03135686]"
4,187,"[-0.03935236  0.02628706 -0.03011614 ... -0.00089068 -0.05566015
 -0.03622004]"
5,232,"[ 0.01337446 -0.03107901  0.01118838 ...  0.05952079  0.04045266
  0.0185715 ]"
6,386,"[-0.02788722 -0.00835773 -0.03304939 ...  0.0234332   0.19822036
 -0.0133104 ]"
7,157,"[-0.06221605 -0.08960497 -0.02432736 ...  0.08047222  0.00960864
  0.00401298]"
8,13,"[-0.00100896  0.04231232 -0.00516759 ...  0.15947056  0.07050205
 -0.14888333]"
9,149,"[-0.01580747  0.03382628  0.10250038 ...  0.02010739  0.07661867
  0.03261723]"
10,432,"[ 0.02510298 -0.029609   -0.05640602 ...  0.23082495  0.09192599
 -0.05752488]"
11,239,"[-0.01603945 -0.06522533 -0.09261038 ...  0.2144952  -0.01439522
 -0.07169992]"
12,76,"[-0.1296646  -0.01925251 -0.05578253 ...  0.13225223  0.00582233
  0.00617534]"
13,265,"[-0.04271855 -0.05100152 -0.06519245 ...  0.13786863 -0.07634693
 -0.0442987 ]"
14,33,"[ 0.21469359 -0.13192552  0.07180966 ... -0.02647524  0.11198812
  0.10498419]"
15,127,"[ 0.01017843  0.04930136 -0.01642098 ... -0.04917634  0.05464354
  0.02202424]"
16,191,"[-0.05085902 -0.01831417 -0.03789625 ...  0.00270499 -0.01457229
 -0.10994213]"
17,409,"[ 0.01159122  0.0052501   0.00288005 ... -0.02181543  0.08319698
  0.03381831]"
18,428,"[-0.0568686  -0.08305495 -0.01939205 ...  0.14056513 -0.13067678
 -0.00798768]"
19,272,"[-0.09987562  0.08868011  0.12341826 ...  0.08177581 -0.00162319
  0.07131868]"
20,186,"[-0.00782864  0.02448809  0.01316222 ...  0.01775267 -0.0396939
 -0.01039884]"
21,333,"[-0.09786812 -0.11848625 -0.11752059 ...  0.01662022  0.10101715
 -0.04771693]"
22,302,"[-0.05609424  0.05017933  0.06446088 ... -0.01191403  0.10294798
  0.02959473]"
23,486,"[-0.05208044 -0.07588433  0.0080412  ...  0.22031626  0.00201433
 -0.01628237]"
24,148,"[-0.04174276  0.09185825  0.01565458 ... -0.01417209 -0.02087499
 -0.05467705]"
25,234,"[ 0.01556965  0.04441621 -0.06093023 ... -0.05290605  0.04540549
  0.02472457]"
26,225,"[ 0.108403    0.08510914  0.13833039 ... -0.0816045   0.11042616
 -0.06231719]"
27,394,"[-0.00106666 -0.11989573 -0.00458165 ...  0.13951896  0.11478752
 -0.06688791]"
28,364,"[-0.08696946  0.09405275 -0.047786   ...  0.09790993 -0.01908566
  0.00027482]"
29,361,"[ 0.08248319  0.00576071 -0.00465499 ...  0.03492938  0.04442284
 -0.05432908]"
30,43,"[-0.07525492  0.05385111 -0.08791847 ...  0.10579663  0.07754551
 -0.07898567]"
31,466,"[ 0.1759132  -0.01248847  0.02294439 ...  0.07964393 -0.11704116
  0.01663407]"
0,420,"[ 0.0749281  -0.00909036  0.04377138 ...  0.06454616  0.20591296
 -0.12444634]"
1,44,"[-0.06801334 -0.02436079  0.03984152 ...  0.03813054 -0.05282589
 -0.09371436]"
2,298,"[-0.08443785 -0.03296387 -0.04385569 ... -0.00505744  0.04215441
 -0.04017104]"
3,143,"[ 0.03380416  0.07592188 -0.02319637 ...  0.0871115  -0.01098501
 -0.02766049]"
4,207,"[-0.01051017  0.00760877  0.04793463 ...  0.02059468 -0.07356442
  0.01728556]"
5,175,"[-0.0156438  -0.05739007 -0.06510116 ...  0.02440876 -0.01488321
 -0.01617496]"
6,249,"[-0.00378452 -0.03179841  0.0138476  ...  0.17623185  0.02225793
 -0.06470507]"
7,213,"[ 0.07632401 -0.08390827 -0.02697451 ... -0.01629111 -0.00763798
 -0.01444294]"
8,255,"[ 0.07061792 -0.03352261 -0.1172425  ...  0.09224364  0.06113042
 -0.06074128]"
9,146,"[-0.04652806 -0.00333896  0.03020513 ...  0.07241464  0.00803307
  0.00442563]"
10,39,"[-0.1788695   0.02060902 -0.00393223 ...  0.10383876 -0.00292954
  0.08374906]"
11,52,"[-0.01623737  0.12372378 -0.04203382 ...  0.03580129  0.01844872
  0.01609794]"
12,102,[0.09480717 0.07913734 0.00740445 ... 0.07753184 0.03466172 0.14251554]
13,65,"[ 0.12662223 -0.04690367 -0.01241392 ...  0.1331829  -0.0139326
 -0.04209601]"
14,148,"[-0.16340609  0.00213451 -0.02268242 ... -0.01372488  0.0551491
 -0.09745041]"
15,265,"[ 0.05717774  0.10318459 -0.04362071 ...  0.03986532  0.01124239
  0.09594632]"
16,392,"[ 0.02480246 -0.03228232 -0.05651116 ... -0.07514673 -0.01729134
  0.06589119]"
17,475,"[-0.00801452 -0.04192416  0.01177073 ...  0.05622539 -0.02799349
 -0.06654458]"
18,459,"[ 0.05524244 -0.03156587  0.00143885 ...  0.06675432 -0.01957052
 -0.14892963]"
19,251,"[-0.02152059 -0.01432466  0.04902543 ...  0.24146156  0.04336045
 -0.0521885 ]"
20,123,"[-0.18173222  0.0058298  -0.06858812 ...  0.14389887  0.03164754
  0.03859534]"
21,468,"[-0.07814533  0.01087756  0.0119185  ...  0.07504765  0.14053895
  0.08014663]"
22,491,"[-0.04719813 -0.0360318   0.04573599 ...  0.06953559  0.11971961
 -0.00782277]"
23,362,"[ 0.00240508 -0.03375917 -0.04585527 ... -0.01316048  0.07896435
  0.01592557]"
24,254,"[ 0.06532534 -0.02640513 -0.04102128 ...  0.08836719  0.08945033
  0.08592343]"
25,289,"[ 0.04290071  0.01461343 -0.07982112 ...  0.18733448 -0.04830999
  0.02518112]"
26,481,"[ 0.07181022 -0.02878246  0.00367825 ...  0.09497099 -0.09702829
 -0.04517632]"
27,30,"[-0.07094421  0.11121633 -0.07528292 ...  0.00165214  0.02691425
  0.11445693]"
28,124,[0.03524037 0.0158808  0.01019051 ... 0.07327839 0.03399754 0.01530356]
29,104,"[-0.08440077  0.01116538 -0.05319405 ...  0.13244481 -0.03264519
  0.07984792]"
30,495,"[ 0.00154134  0.03382691 -0.07834458 ... -0.02099148  0.0422948
  0.03358248]"
31,458,"[-0.05401756  0.11458463 -0.02499765 ...  0.05550801  0.23073015
  0.00142754]"
0,102,"[-0.03236931 -0.01204631  0.0216921  ...  0.08787213 -0.10900351
  0.0211418 ]"
1,451,"[ 0.06819721 -0.04335572 -0.05009056 ...  0.35593012  0.14942287
 -0.07940543]"
2,136,"[-0.00959203  0.03188626 -0.13176796 ...  0.0264879   0.1705837
 -0.11621992]"
3,366,"[-0.0564236  -0.11901316 -0.09209512 ... -0.08300017  0.10574302
  0.00732512]"
4,59,"[-0.02238873 -0.02778148 -0.08732264 ...  0.11429437  0.11345804
 -0.06064409]"
5,412,"[-0.02812407 -0.05059049 -0.01086168 ...  0.03293876  0.14033903
 -0.02991354]"
6,472,"[-0.00203348  0.02116482  0.03641321 ...  0.0050403   0.03200908
 -0.02089822]"
7,245,"[ 0.08418017 -0.04102339 -0.06025019 ...  0.14214468 -0.00423488
  0.03135471]"
8,210,"[ 0.06005084  0.06295202 -0.05519402 ...  0.07834419  0.07827555
 -0.00591692]"
9,59,"[ 0.00303026 -0.00368841 -0.02430326 ...  0.08324081  0.00222051
 -0.01081741]"
10,320,"[-0.02399     0.10867021 -0.1205488  ...  0.15776283  0.18722616
 -0.06953313]"
11,345,"[ 0.05420018  0.04466106 -0.07249208 ...  0.10338642  0.10695801
  0.01410417]"
12,75,"[ 0.15746342  0.08540177 -0.00921275 ...  0.1315      0.14719488
 -0.12909442]"
13,439,"[-0.02949593  0.01375588  0.06014574 ...  0.08426626  0.16534092
 -0.13012317]"
14,451,"[-0.05528773  0.00540433  0.05488302 ...  0.17598377  0.11332602
  0.01718147]"
15,425,"[ 0.11360334 -0.12866564 -0.10202933 ...  0.08960874  0.1156913
 -0.05006889]"
16,274,[0.05907305 0.01788636 0.04801463 ... 0.02982367 0.06872064 0.02392109]
17,93,"[-0.11576339 -0.05102908  0.0098601  ...  0.09959201 -0.00902158
  0.06669123]"
18,5,"[ 0.01174493  0.12569003  0.0378895  ...  0.04610767  0.06192133
 -0.04642407]"
19,81,"[ 0.01484394  0.00160185 -0.05652648 ...  0.23224294 -0.10153015
 -0.06889612]"
20,224,"[ 0.1621159   0.04024075  0.05608558 ...  0.13260822  0.04631262
 -0.01078899]"
21,485,"[-0.14700659  0.01996079 -0.08910296 ...  0.1229646   0.10712256
 -0.01591768]"
22,40,"[-0.04457276  0.06279125  0.00482975 ...  0.10555235  0.09305406
  0.06473531]"
23,300,"[-0.15629686 -0.06913559 -0.05898767 ...  0.05088693  0.17819564
 -0.10653948]"
24,137,"[-0.0269976  -0.17538646 -0.02457409 ...  0.00583585  0.02485848
 -0.05823793]"
25,415,"[-0.05569302 -0.11079424 -0.08064894 ...  0.06545731  0.529302
  0.00854659]"
26,87,"[ 0.08686183  0.04715807  0.01831002 ...  0.3098305  -0.04211042
  0.0469053 ]"
27,98,"[-0.04137426 -0.0035914   0.05741966 ... -0.02151017 -0.01532031
 -0.09026819]"
28,181,"[ 0.0037296  -0.0084766   0.03701092 ...  0.00693237  0.05516772
 -0.0303246 ]"
29,221,"[-0.05017205 -0.09327437 -0.06271546 ... -0.06084174  0.11893721
 -0.10156629]"
30,263,"[-0.12277257 -0.03534362 -0.01436389 ...  0.17835402  0.11606806
 -0.040783  ]"
31,494,"[-0.03737145 -0.07562058 -0.0497947  ...  0.03600129  0.08700226
 -0.03730702]"
0,54,"[ 0.07367257 -0.02223311 -0.07883461 ...  0.08216898 -0.03553648
  0.02163707]"
1,129,"[-0.0915537  -0.03314799  0.0367183  ...  0.01645517  0.13834035
  0.03943271]"
2,457,"[-0.10120738 -0.05417082 -0.11649749 ...  0.06533711  0.19251573
 -0.06527573]"
3,438,"[-0.13009252  0.02218562  0.08111816 ...  0.06087069 -0.0756081
 -0.0581607 ]"
4,386,"[-0.03661729  0.08245942  0.05806705 ...  0.08512411  0.04082007
 -0.0784952 ]"
5,482,"[-0.05276389 -0.05039217 -0.08242937 ...  0.105251   -0.02969285
  0.15353586]"
6,248,"[-0.0873454   0.04700072 -0.05394562 ...  0.1316972   0.01035468
  0.02951299]"
7,138,"[ 0.10790372 -0.0119636   0.02729747 ...  0.00024633  0.00735345
  0.04964435]"
8,309,"[-0.04879196 -0.02871603  0.0114191  ...  0.04456767 -0.00035697
  0.03395863]"
9,246,"[-0.21466614 -0.08946844 -0.04656662 ...  0.03531872 -0.00047088
 -0.01174464]"
10,449,"[-0.10550637  0.02053599 -0.01177894 ...  0.05631034 -0.0170888
  0.02816899]"
11,204,"[-0.04486012  0.00984534 -0.10455269 ...  0.03099245  0.02440738
  0.00336795]"
12,64,"[ 0.00750137 -0.04237821  0.01127881 ...  0.04306094  0.0103205
 -0.03246973]"
13,427,"[-0.15642875  0.03063329 -0.03672029 ...  0.06716333  0.04803003
 -0.01360095]"
14,420,"[ 0.05194558  0.00470311  0.07077551 ...  0.34609735  0.039702
 -0.05424895]"
15,205,"[ 0.03238713 -0.00513765  0.06321095 ...  0.04260442  0.26706007
  0.0519768 ]"
16,39,"[ 0.05506876 -0.03485473  0.07353148 ...  0.0876947   0.0757018
 -0.03274286]"
17,9,"[ 0.10945492 -0.10125384  0.04264184 ...  0.10561562  0.04911086
 -0.05226638]"
18,378,"[-0.06996907 -0.05003031 -0.0236155  ... -0.07023168  0.06013723
 -0.04129956]"
19,483,"[-0.0538088  -0.01468696  0.07767642 ...  0.04429401  0.27782464
 -0.07523718]"
20,115,"[-0.21152695 -0.00872229 -0.0971792  ...  0.0972892   0.16019408
  0.06673122]"
21,170,"[-0.05429738  0.04271231  0.05871746 ...  0.02869796 -0.00440718
  0.10907   ]"
22,35,"[-0.02597838  0.07400116 -0.00766529 ...  0.02763036  0.0626443
 -0.07048131]"
23,18,"[-0.04239021 -0.0135828  -0.04891226 ... -0.05558163  0.06342402
 -0.12788802]"
24,145,[0.02990429 0.04370263 0.02527878 ... 0.08509054 0.03267108 0.03737495]
25,134,"[-0.01479173 -0.07774107 -0.04615381 ...  0.09808887  0.03500506
 -0.13044955]"
26,316,"[-0.08395743 -0.02621111 -0.00741575 ...  0.11128663  0.03799989
 -0.02574115]"
27,380,"[ 0.06598679 -0.06330491  0.04004567 ...  0.03915061  0.06513976
 -0.02173093]"
28,403,"[-0.02623471 -0.08797622 -0.12488843 ...  0.2353948  -0.11256377
  0.07286755]"
29,373,"[ 0.01484196  0.03490929 -0.08837989 ...  0.02621572 -0.05645939
 -0.02362486]"
30,452,"[-0.071929    0.02397538  0.03341914 ...  0.05896999  0.10669964
  0.02670847]"
31,160,"[ 0.00099434 -0.02618696 -0.02580136 ...  0.26309112 -0.01845292
  0.03315834]"
0,489,"[ 0.09693681  0.03159217 -0.12008344 ...  0.11059783  0.06339944
  0.02579355]"
1,231,"[-0.10380416 -0.00438656 -0.03984036 ...  0.15548441  0.25049785
  0.12637752]"
2,262,"[-0.02622649 -0.01050191  0.07289305 ...  0.03276161 -0.00946017
 -0.03851332]"
3,175,"[-0.04331508 -0.03473851 -0.04949619 ...  0.06533756  0.15629837
 -0.00770732]"
4,495,"[-0.02933214 -0.06759953 -0.03981875 ...  0.10777491 -0.04155671
 -0.03256961]"
5,324,"[-0.0887353  -0.03286527  0.02180324 ...  0.04844814 -0.08753726
 -0.03085174]"
6,260,"[-0.04354368  0.07144303 -0.0832881  ...  0.21507017  0.00563265
  0.00035137]"
7,250,"[-0.06532844  0.00315072 -0.04398665 ...  0.03302111 -0.12775438
  0.02971398]"
8,414,"[-0.01813486 -0.06134256 -0.05628227 ...  0.10633939  0.1589791
 -0.06297151]"
9,162,"[-0.03612468 -0.04620725 -0.03406082 ...  0.03859326  0.0789444
 -0.07884111]"
10,23,"[-0.11177479  0.07727423 -0.06382367 ...  0.07951     0.09534969
 -0.01146424]"
11,227,"[-0.02628916  0.03158448 -0.03874338 ...  0.22009774  0.11625023
 -0.02992591]"
12,346,"[ 0.02534018 -0.0728031   0.03147451 ... -0.03919316  0.2435206
  0.01430125]"
13,104,"[ 0.0022018   0.0131288   0.05653397 ...  0.01012313  0.11555892
 -0.06667049]"
14,22,"[-0.0136648   0.02639289 -0.06065817 ...  0.2963359   0.12369062
 -0.171357  ]"
15,23,"[-0.0109734   0.08126115 -0.05735906 ...  0.07722434 -0.00228995
  0.01681544]"
16,498,"[ 0.02571414  0.02350014 -0.00438743 ...  0.01969639  0.15498784
  0.09385625]"
17,313,"[-0.00296507  0.01588602  0.06475665 ...  0.07060225  0.09992754
  0.11180269]"
18,15,[0.02687087 0.04358921 0.00531309 ... 0.33697417 0.04458435 0.01719792]
19,100,"[ 0.01414721  0.02777079 -0.00686263 ...  0.06219954  0.01701378
 -0.00227163]"
20,379,"[ 0.04655115 -0.06233034 -0.07864437 ... -0.02333581  0.05951134
  0.06590395]"
21,190,"[ 0.16665259 -0.03329719  0.02703826 ...  0.13806874 -0.11739731
  0.13099205]"
22,358,"[-0.03593667 -0.03850072 -0.01402597 ...  0.08001407  0.03256894
 -0.00590402]"
23,117,"[-0.09645813 -0.04942633  0.08343246 ...  0.24598826  0.01232448
  0.0060168 ]"
24,106,"[-0.13146175 -0.0191016  -0.04162198 ...  0.01166667 -0.06577221
 -0.07960019]"
25,49,"[-0.01757476 -0.07974948 -0.10947365 ...  0.02305345  0.10124026
  0.03721999]"
26,485,"[-0.0936375  -0.04873362 -0.04621719 ...  0.05444098  0.14592063
 -0.03850474]"
27,478,"[-0.01064957 -0.12577628  0.07800496 ...  0.09823611  0.03772895
 -0.18286161]"
28,39,"[ 0.05041659  0.03810414  0.13945231 ...  0.1496637  -0.08472479
  0.13701358]"
29,297,"[-0.00416402 -0.09941287 -0.0240568  ... -0.04101422 -0.03102732
 -0.05898148]"
30,173,"[-0.07025338 -0.02527013 -0.01492905 ...  0.12180495  0.00079958
 -0.01347907]"
31,446,"[ 0.03577783 -0.03289595  0.00888906 ...  0.01171683 -0.07822418
  0.01080547]"
0,44,"[ 0.02660779 -0.03896278  0.01026423 ...  0.11798026 -0.02200594
 -0.06734864]"
1,108,"[ 0.02105735 -0.03669206  0.03435704 ...  0.07011545 -0.05983945
 -0.06183995]"
2,243,"[ 0.04903775  0.00787874  0.06336445 ...  0.03413818 -0.05795998
 -0.02226774]"
3,314,"[ 0.01779041  0.18400785 -0.04229671 ...  0.02352999 -0.11403432
 -0.03242822]"
4,42,"[-0.02403159 -0.09413811 -0.03840084 ...  0.06760859 -0.03884391
  0.00765383]"
5,23,"[-0.1027787   0.03818959 -0.03348226 ...  0.02266327  0.03350536
 -0.00706556]"
6,36,"[ 1.70671508e-01  1.02340244e-04 -1.97839737e-02 ...  2.13033706e-01
  1.19090736e-01 -1.49471998e-01]"
7,494,"[ 0.00193025 -0.04757435 -0.03835042 ...  0.01456119  0.08290991
 -0.04603115]"
8,157,"[ 0.05411604  0.05621042 -0.10872506 ... -0.03399101 -0.03261156
  0.08229852]"
9,115,"[ 0.0096682  -0.03251744 -0.14499207 ...  0.01424584  0.08483757
  0.01809277]"
10,444,"[-0.09542868  0.05902784 -0.05611597 ...  0.09864416 -0.01491738
  0.02649818]"
11,432,"[-0.04240909 -0.05076034 -0.02350999 ...  0.1984284   0.14409831
 -0.03225371]"
12,344,"[-0.04696907  0.01138636 -0.05207364 ...  0.11143557 -0.04680301
 -0.07275733]"
13,110,[0.03939274 0.0407514  0.10912799 ... 0.12117217 0.04285037 0.00384296]
14,135,"[-0.05104274 -0.11238947  0.00352192 ...  0.05869579 -0.01232192
 -0.04983533]"
15,66,"[ 0.13170822  0.05727789 -0.03991706 ...  0.3463172   0.37735447
 -0.11803392]"
16,176,"[-0.16000423 -0.02891811 -0.03476465 ...  0.3687566  -0.05477426
  0.03909945]"
17,422,"[ 0.09265534 -0.02120909 -0.03828757 ...  0.04816976  0.13984162
  0.00876277]"
18,53,"[-0.07205755  0.02310802  0.03268217 ... -0.02563951 -0.01360425
  0.00789299]"
19,412,"[ 0.0960393  -0.13726921 -0.01928557 ...  0.06418328 -0.05987428
 -0.11075175]"
20,167,"[-0.07471801 -0.00939459 -0.05583068 ...  0.03052991  0.14190193
 -0.05321325]"
21,342,"[-0.08540467 -0.03699356 -0.04832275 ...  0.06098625 -0.05123738
  0.00203589]"
22,7,"[-0.01356368 -0.00433843  0.07293994 ...  0.01280746  0.03311899
 -0.06515098]"
23,316,"[-0.13130215  0.03976557 -0.03255669 ...  0.06237404  0.16681139
 -0.07809601]"
24,459,"[-0.05866568 -0.16908647 -0.03799057 ...  0.1459856  -0.00299424
 -0.10061767]"
25,217,"[ 0.1744775   0.02800453 -0.03271798 ...  0.09859104  0.07399457
  0.00859766]"
26,402,"[ 0.14595078 -0.02998665  0.04677735 ...  0.02178482  0.02379276
 -0.02778349]"
27,344,"[-0.10134074 -0.02395807 -0.0913917  ... -0.00647865  0.12507966
  0.1695933 ]"
28,412,"[-0.07037234 -0.03009754 -0.03542514 ... -0.02377731  0.01683382
 -0.0536206 ]"
29,413,"[ 0.08510483 -0.0002159  -0.00775753 ...  0.03302236  0.06919813
 -0.03380047]"
30,80,"[ 0.05274275  0.10259356 -0.05537843 ...  0.07273017  0.01942385
 -0.11394073]"
31,78,"[ 0.06490605  0.04862863  0.02979792 ...  0.09818644  0.03511344
 -0.03364519]"
0,101,"[-0.00103373 -0.04767283  0.03761579 ... -0.02669933  0.13702066
 -0.06786878]"
1,181,"[-0.03624077  0.00720372 -0.04534475 ...  0.04952287  0.05332043
 -0.00393376]"
2,168,"[-0.0504076  -0.0509723   0.04258324 ...  0.07513224  0.12323612
 -0.11059833]"
3,195,"[-0.07071207  0.03778873  0.02949986 ... -0.00258811  0.09349088
 -0.01481006]"
4,71,"[ 0.01842452 -0.00543011 -0.06186989 ...  0.09501586  0.0539819
  0.05712945]"
5,345,"[-0.00449638  0.03713932  0.07849442 ...  0.15334451  0.01099684
 -0.01143434]"
6,241,"[ 0.05909661 -0.00315488 -0.05652596 ... -0.07498521  0.18073092
  0.08411402]"
7,330,"[-0.03919644 -0.06843524  0.02966962 ...  0.03527718  0.00189887
 -0.09383355]"
8,192,"[-0.03333864 -0.04707532  0.01000124 ...  0.00768855 -0.00992939
 -0.01618901]"
9,346,"[-0.04938389  0.13576838 -0.06760335 ... -0.06915546  0.03327175
  0.01665822]"
10,187,"[-0.01207932 -0.01513973 -0.03615743 ...  0.26681256  0.04284881
 -0.04732996]"
11,473,"[ 0.04776836 -0.09716766 -0.02934035 ... -0.02429746  0.36055252
 -0.06794006]"
12,497,"[ 0.14884734 -0.00605827 -0.11471391 ...  0.02410328  0.01910679
 -0.08600863]"
13,469,"[ 0.14326648  0.07740735  0.03519152 ... -0.01865947 -0.02291724
  0.03127833]"
14,487,"[-0.07422615 -0.0746857  -0.0177548  ...  0.10147069  0.00439667
  0.12132701]"
15,243,"[-0.07658467 -0.03032189 -0.09102286 ...  0.00581445  0.17582402
 -0.04286076]"
16,131,[0.00420084 0.05512974 0.04903556 ... 0.07751402 0.09782338 0.07675964]
17,466,"[-1.36649385e-02 -2.63077002e-02 -5.19192778e-02 ...  2.44161740e-01
  7.76932575e-05 -9.37868655e-02]"
18,347,"[-0.1143287  -0.0183819   0.05220043 ...  0.1442668  -0.02233178
 -0.02902299]"
19,358,"[-0.0770243   0.00901806  0.05212789 ...  0.04834253 -0.04883056
  0.11834461]"
20,233,"[-0.03516496 -0.10564785  0.00649411 ...  0.04741457  0.0258235
 -0.10527439]"
21,489,"[-0.12812494 -0.05578475  0.15483977 ...  0.13836518 -0.06690484
  0.03023427]"
22,461,"[ 0.04386645 -0.00423214  0.04292524 ...  0.00793467  0.12823993
  0.07856145]"
23,369,"[-0.02933354 -0.02243054  0.01055945 ... -0.02558027 -0.06593597
 -0.07253595]"
24,362,"[ 0.02429203 -0.00052533 -0.05045895 ...  0.03805455 -0.05221243
 -0.05568557]"
25,246,"[ 0.13309634 -0.02536656 -0.05073011 ... -0.01744811  0.01614181
  0.10615186]"
26,263,"[ 0.0795318   0.042447   -0.07744122 ...  0.09627681  0.09980264
  0.08480165]"
27,155,"[ 0.09154188  0.04946908 -0.03269199 ...  0.09374372 -0.025754
 -0.07140852]"
28,109,"[ 0.04266897 -0.02258089 -0.04867269 ...  0.11748543  0.06752317
  0.02110767]"
29,424,"[ 0.08922923 -0.01227426 -0.04822624 ...  0.09652746  0.07936068
  0.02804126]"
30,298,"[-0.04952117 -0.05647137 -0.07185896 ...  0.12931533 -0.01818069
 -0.04481443]"
31,60,"[ 0.00182957  0.00936399  0.07181048 ...  0.10353521 -0.02461994
 -0.05782357]"
0,97,"[ 0.07123774  0.06713095 -0.08279482 ...  0.095821   -0.11822168
  0.02812931]"
