Index,True Label,Embedding
0,139,"[ 0.00562127  0.00701051  0.01712759 ...  0.00407805  0.00363495
 -0.03370661]"
1,0,"[ 0.02672462 -0.00278187  0.03008903 ... -0.01739205  0.01831947
 -0.00408294]"
2,196,"[-0.02233534  0.00823708  0.02727902 ...  0.00295204  0.00782356
  0.01795991]"
3,939,"[-0.05396901  0.02500867  0.0251024  ...  0.03130269 -0.02569547
  0.0201276 ]"
4,734,"[ 0.01161735  0.00124047  0.01868967 ... -0.0151512   0.01868785
  0.00437038]"
5,65,"[ 0.03820622  0.00493192 -0.00934992 ...  0.02215991  0.00708759
 -0.02209593]"
6,380,"[ 0.02870004 -0.01738779 -0.0341354  ... -0.01588939  0.00899281
 -0.00180166]"
7,1077,"[ 0.02384818 -0.033298   -0.03447309 ... -0.03221511  0.08418772
 -0.00449955]"
8,1006,"[-0.00200823 -0.01241559  0.00472655 ... -0.02122699  0.01593488
  0.00443801]"
9,795,"[-0.00153266  0.00734746 -0.00360813 ...  0.01399094 -0.02029268
  0.01065779]"
10,25,"[ 0.01180458  0.01284193 -0.01695211 ... -0.02657553  0.03079265
  0.00197373]"
11,550,"[-0.00803512  0.00265171  0.02006843 ... -0.03408371 -0.02215089
 -0.00480954]"
12,797,"[-0.01759863  0.01118678  0.00606897 ... -0.01949295  0.02022176
  0.0161319 ]"
13,392,"[-0.01617746  0.01086863  0.02376375 ... -0.00267669 -0.01822355
  0.08276909]"
14,237,"[ 0.00192565  0.00749479 -0.01646854 ...  0.03653957 -0.01883744
 -0.02138267]"
15,444,"[-0.00204838 -0.01366162  0.0404773  ...  0.00315403  0.01843422
 -0.01751873]"
16,29,"[ 0.02726355  0.00776208 -0.00661986 ...  0.02353757  0.00639724
  0.03484278]"
17,383,"[-0.01493526  0.0140931   0.00019834 ... -0.0206999  -0.00508075
 -0.00367097]"
18,1373,"[ 0.06143738 -0.00968606  0.00026325 ...  0.00682267 -0.00250575
  0.02915687]"
19,205,"[ 0.02255807  0.01509503 -0.00133157 ...  0.00656739 -0.02889774
  0.01946363]"
20,964,[0.02624367 0.03662337 0.02410777 ... 0.02063549 0.03011271 0.05289409]
21,1045,"[-0.01065709  0.03538711 -0.01888369 ... -0.01039972 -0.01061847
  0.01753313]"
22,1111,"[ 0.02786414  0.02638007 -0.0037755  ...  0.0053484  -0.00974459
 -0.03928763]"
23,1424,"[-0.05789062 -0.02702137 -0.0124411  ...  0.02542071 -0.03143309
  0.0116587 ]"
24,117,[0.01737926 0.01720217 0.00595337 ... 0.02228475 0.03416421 0.01451892]
25,0,"[ 0.01473492 -0.00534977  0.01835881 ... -0.00623447 -0.00649933
  0.00554512]"
