Index,True Label,Embedding
0,216,"[-0.00411387  0.11368451  0.00569423 ...  0.00528533 -0.03672931
  0.01931247]"
1,157,"[-0.00059769 -0.00159625  0.01749912 ...  0.00273675 -0.00219199
  0.02307292]"
2,588,"[-0.02579071  0.0248583   0.01375416 ... -0.01698308 -0.02437117
 -0.00182437]"
3,1281,"[ 0.00663892 -0.00455003 -0.00162682 ... -0.00634112 -0.01223716
  0.01981904]"
4,478,"[ 0.03218129 -0.01232743 -0.01910388 ... -0.04041915 -0.02160607
  0.00829048]"
5,65,"[-0.00623273  0.02350242 -0.02384918 ...  0.04230986 -0.0118868
  0.02267285]"
6,1685,"[-1.5970660e-02 -2.9906030e-03 -1.8477382e-02 ...  4.4660177e-05
 -3.4218129e-02  8.8161733e-03]"
7,446,"[-0.01388817 -0.02824935 -0.03339161 ... -0.00076615 -0.02671549
 -0.03634322]"
8,1342,"[-0.01915337  0.0330092  -0.01161805 ...  0.0128467   0.00091988
 -0.05494473]"
9,683,"[ 0.01722498  0.03027561 -0.01008138 ... -0.00193342 -0.01745379
  0.02842426]"
10,967,"[-0.0416784   0.10221671  0.01480494 ... -0.02372191 -0.00950281
 -0.0199959 ]"
11,647,"[ 0.01318673  0.04159829  0.03873812 ... -0.01227122 -0.02596198
 -0.00588372]"
12,350,"[-0.00413902 -0.01727377  0.02007768 ...  0.00304867  0.01714018
  0.0246495 ]"
13,371,"[ 0.04926275  0.01758562 -0.01635464 ...  0.01765148 -0.01966341
  0.01119151]"
14,593,"[-0.00072899  0.03261432  0.00538538 ... -0.01386027 -0.02349847
  0.06206945]"
15,1028,"[ 0.02532989 -0.01737781 -0.01771579 ...  0.02812105 -0.0117094
  0.00446721]"
16,305,"[-0.0691373  -0.03318598 -0.00956698 ... -0.01148569  0.00094592
 -0.02325291]"
17,1215,"[-0.04077861  0.0235756  -0.0101695  ... -0.04157516  0.00151308
  0.02354174]"
18,96,"[ 0.00346359 -0.00214005  0.00099044 ...  0.00763648  0.02384724
  0.04325407]"
19,285,"[-1.2977438e-02  8.1319828e-05 -7.4772062e-03 ... -3.3708740e-02
 -3.0586038e-02 -1.1744626e-02]"
20,1739,"[ 0.039504   -0.0042351   0.00814267 ... -0.00406501  0.01401889
 -0.00380686]"
21,389,"[ 0.01714266  0.00157247 -0.00743901 ...  0.01055067 -0.05289111
 -0.02808012]"
22,253,"[ 0.02557386  0.01281467  0.03744924 ... -0.02455697 -0.0195782
 -0.01186365]"
23,1767,"[ 0.10765956  0.00712115 -0.0123621  ... -0.0097619   0.00570151
  0.03555794]"
24,1581,"[-0.00545067 -0.01303477 -0.00015233 ...  0.02093989  0.01926995
  0.01223794]"
25,10,"[-0.03222156 -0.01952626 -0.02095524 ... -0.01045795 -0.00597114
  0.00524858]"
26,861,"[ 0.04809482 -0.00986735  0.03325189 ... -0.07780285  0.02587116
  0.03366213]"
27,258,"[ 0.0045539  -0.00049568 -0.00084386 ... -0.01144852  0.00453437
  0.0437131 ]"
28,1285,"[-0.04674084 -0.00904715 -0.00225565 ... -0.02151443 -0.02848163
  0.02587278]"
29,218,"[-0.01968377  0.04170999 -0.03869657 ... -0.01320841 -0.01142751
 -0.05040668]"
30,291,"[ 0.00773353  0.00800658 -0.04037172 ...  0.00623596 -0.01537414
  0.05563301]"
31,3,"[-0.02279927 -0.01856202 -0.01860051 ... -0.02654444 -0.00962129
  0.04067972]"
0,1810,"[ 0.01753199  0.06047478  0.02065386 ... -0.05479053 -0.05393038
 -0.01554357]"
1,117,"[-0.02025364  0.03060667  0.06156274 ... -0.02216093 -0.03880708
  0.05422601]"
2,792,"[-0.02316686  0.01296408  0.03552387 ... -0.01708068 -0.01312
 -0.00645548]"
3,78,"[ 0.0411327  -0.03008761 -0.0005544  ...  0.02041803 -0.02487476
 -0.01582685]"
4,126,"[-0.01676043 -0.01591644 -0.00577159 ...  0.0092509  -0.01589867
 -0.01360031]"
5,614,"[-0.02864139  0.04051812 -0.01354737 ... -0.02479433 -0.00231516
  0.02100367]"
6,97,"[-0.01862965 -0.01047805  0.00895971 ...  0.00677447 -0.01504013
  0.00465522]"
7,946,"[-0.02203336  0.0215739  -0.00911819 ... -0.03311422 -0.02306037
  0.05854497]"
8,78,"[-0.04178266  0.00154906 -0.00896798 ... -0.00326986  0.06276673
  0.00675631]"
9,1395,"[-0.03503123 -0.04329491  0.02775036 ... -0.01634619  0.02010071
 -0.00036882]"
10,1056,"[ 0.01361015 -0.02188325 -0.0247316  ... -0.02145815  0.00853198
  0.01050896]"
11,700,"[ 3.6868293e-02 -2.1027712e-02 -2.7953144e-02 ... -4.0494043e-02
 -2.7345959e-05 -4.5781690e-03]"
12,389,"[-0.0320098  -0.02631392  0.02947318 ... -0.01279737 -0.02131602
 -0.00931   ]"
13,484,"[-0.00174247 -0.00556062  0.00306654 ... -0.02135939 -0.02244232
  0.00971895]"
14,1051,"[-0.03420066 -0.0079263  -0.02576457 ... -0.01612137  0.01252827
  0.00112549]"
15,753,"[-0.01799385 -0.00574309 -0.00785399 ... -0.05267496 -0.01258027
  0.04099824]"
16,102,"[ 0.01085289  0.01006576  0.00214235 ...  0.02119354 -0.01432952
 -0.00934243]"
17,951,"[ 0.0167662   0.02028057 -0.02015978 ... -0.0252122   0.07664318
 -0.03331732]"
18,1729,"[ 0.04881751 -0.02363614 -0.03557312 ...  0.01890065 -0.04041382
  0.07708573]"
19,51,"[-0.01392057  0.00772527  0.00658121 ... -0.02092962 -0.00675031
 -0.01731715]"
20,379,"[ 0.01698411 -0.03012722 -0.01012371 ... -0.02878728  0.01670702
  0.0046179 ]"
21,752,"[ 0.01919476 -0.0650669  -0.0187548  ...  0.01140152 -0.04666667
 -0.008747  ]"
22,931,"[-0.01398608  0.0100772   0.00086114 ... -0.01049081  0.02517726
  0.00741282]"
23,1308,"[-0.02440041  0.03470347 -0.00807783 ... -0.03086408 -0.00259271
 -0.0193028 ]"
24,1298,"[ 0.01769974 -0.05196021  0.00927173 ...  0.03290794 -0.0087523
 -0.01375275]"
25,931,"[ 0.03576556  0.01828477 -0.01514653 ... -0.00955725 -0.0153397
  0.02605412]"
26,137,"[-0.01939947  0.037707   -0.04193043 ... -0.03147724 -0.01198644
 -0.00422798]"
27,1194,"[-0.00527052 -0.01051581 -0.0008946  ... -0.00539885  0.00740675
  0.02185208]"
28,1678,"[ 0.00381944  0.04850164  0.00160843 ... -0.04684695  0.00223572
  0.01813986]"
29,752,"[ 0.03927488  0.01346968 -0.00441104 ... -0.00650235 -0.04523849
 -0.00719375]"
30,203,"[ 0.01461824 -0.00203139  0.01091279 ...  0.00192348  0.01458918
 -0.00424218]"
31,252,"[ 0.03645531 -0.03133138  0.01588749 ...  0.04543348 -0.02933798
  0.01071278]"
0,1511,"[ 0.01116198  0.01781548 -0.00652878 ... -0.01756827 -0.01017598
  0.00159958]"
1,96,"[-0.01399432 -0.03106002 -0.03420096 ... -0.00907409 -0.00519228
  0.02675866]"
2,247,"[ 0.04466541 -0.00760466  0.01254063 ... -0.01537221 -0.02478164
  0.02203018]"
3,1401,"[-0.00468314  0.00418875  0.04668728 ...  0.02543379 -0.02310065
 -0.01623693]"
4,258,"[ 1.0860530e-02  1.6033649e-05 -1.5996532e-03 ... -3.5482999e-02
  3.1906307e-02 -4.5863826e-02]"
5,509,"[ 0.03505818  0.0068017   0.00270413 ... -0.01470838 -0.03391122
 -0.02804337]"
6,1081,"[ 0.0484095   0.00750252 -0.00099917 ... -0.0049854  -0.02326185
 -0.01478141]"
7,1256,"[-0.05541484 -0.01176552  0.0304498  ... -0.02483224  0.00623818
  0.02274892]"
8,278,"[-0.01891169  0.02495419 -0.05814793 ... -0.00191203 -0.0122253
  0.01111319]"
9,603,"[ 0.05943501 -0.00409509 -0.03440509 ... -0.06165292  0.00753693
  0.03561825]"
10,900,"[-0.012116    0.01357283 -0.00928219 ... -0.00236018 -0.0150463
  0.02107261]"
11,300,"[ 0.00621514 -0.0164187   0.01016566 ...  0.00102473  0.04313134
  0.01033697]"
12,1006,"[ 0.01589514  0.00852145  0.05815848 ...  0.020406    0.01345625
 -0.00378652]"
13,389,"[ 0.0161579   0.01712319 -0.05009129 ...  0.01497298 -0.00448926
  0.03157899]"
14,838,"[ 0.00473065  0.0324127  -0.01842503 ... -0.01879962 -0.02045356
 -0.03077422]"
15,872,"[-0.00445556 -0.01198847 -0.03463181 ... -0.0182137   0.01304638
 -0.03494952]"
16,739,"[ 0.00511693  0.01940972 -0.01587162 ... -0.02581884  0.07161638
 -0.01288957]"
17,1757,"[-0.01443776 -0.01344775  0.02267975 ... -0.02107497  0.00440702
 -0.00150172]"
18,1145,"[-0.022395    0.03025663 -0.01330662 ... -0.02118958 -0.01180878
  0.03702015]"
19,24,"[ 0.03229851  0.03068189 -0.00800076 ... -0.00069923 -0.01193899
  0.02753402]"
20,15,"[ 0.02933428  0.06038479 -0.02039082 ... -0.00212484 -0.03232391
  0.02696009]"
21,15,"[-0.00198874  0.00103744 -0.00763934 ... -0.03252059 -0.03060635
 -0.00384568]"
22,1451,"[-0.00120055 -0.000266    0.00985611 ... -0.03156051  0.02786846
 -0.0364658 ]"
23,222,"[-0.01789583 -0.02245807  0.05437834 ... -0.00702739  0.02622604
  0.00554532]"
24,318,"[-0.05878935  0.01001322 -0.02531514 ... -0.0078035  -0.00122796
  0.00070945]"
25,29,"[ 0.01867357 -0.05828269 -0.03403943 ... -0.01118786  0.01592997
  0.00578104]"
26,1609,"[-4.0305864e-02  2.5737908e-02 -6.4049936e-03 ... -2.2263713e-02
  1.3177682e-02 -2.9164832e-05]"
27,326,"[-0.03610945 -0.00899423 -0.01429257 ... -0.03065384  0.01392006
  0.08562812]"
28,722,"[-0.01401878 -0.00456043 -0.00511366 ... -0.00643264 -0.03132361
  0.0050762 ]"
29,78,"[-0.01630132 -0.01473285 -0.02156261 ...  0.03531991 -0.02320279
 -0.00106353]"
30,1546,"[-0.00490689  0.00843835  0.00343743 ...  0.00841462  0.06726511
  0.01100464]"
31,553,"[-0.0660335   0.07370185 -0.0097212  ...  0.00420731  0.01928326
  0.00884447]"
0,795,"[-0.03115376  0.10007973 -0.02100367 ... -0.00882788  0.01144983
  0.00095321]"
1,291,"[-0.05098774 -0.02414623  0.01197175 ... -0.0393613  -0.02393882
 -0.01328347]"
2,332,"[ 0.0177783  -0.04492273  0.0014065  ...  0.03266567  0.01324158
 -0.01164078]"
3,78,"[-0.04215647  0.05881527  0.00920628 ... -0.00782097  0.03617058
 -0.00504254]"
4,563,"[ 0.01132856 -0.01616696  0.01398415 ...  0.01814448  0.05947935
 -0.0141354 ]"
5,118,"[-0.01343595 -0.03019718  0.00479842 ... -0.02803749  0.00864862
 -0.01010974]"
6,475,"[-0.02221856  0.02280048 -0.02664902 ...  0.01321624 -0.02826437
  0.01871817]"
7,1105,"[ 0.0260641   0.01618366 -0.00390544 ...  0.01121962 -0.02462812
  0.0450389 ]"
8,387,"[ 0.00154111 -0.01333574 -0.00846047 ... -0.00912824 -0.00738439
 -0.03174063]"
9,1820,"[ 0.00945077 -0.00148957  0.00474211 ... -0.00052572  0.02897878
 -0.00623161]"
10,1255,"[-0.01343671 -0.00788655 -0.02489074 ...  0.01686088  0.06430391
  0.00365234]"
11,133,"[-0.01518589 -0.03073936 -0.00953284 ...  0.0009046  -0.03956635
 -0.01269225]"
12,3,[0.00126951 0.0125842  0.00604986 ... 0.03662011 0.01468487 0.00236261]
13,625,"[-0.04274811 -0.01081269 -0.02099411 ...  0.02151985 -0.00389633
  0.0449786 ]"
14,317,"[ 0.01046892  0.05212434 -0.01343634 ... -0.02574922 -0.00167302
  0.00789523]"
15,156,"[-0.01175741  0.01497913  0.00449524 ... -0.00362505  0.01563718
  0.01549032]"
16,207,"[-0.00434397  0.01393202 -0.04228432 ...  0.02581211  0.04097277
  0.03158891]"
17,192,"[-0.02596737  0.02741263  0.01961845 ...  0.00996063 -0.01010279
 -0.00527118]"
18,10,"[-0.05091724 -0.03084235 -0.01468284 ... -0.02944476 -0.01964336
  0.00529926]"
19,34,"[ 0.07373239 -0.01020639  0.01406595 ...  0.01220132 -0.02191873
 -0.0216156 ]"
20,1509,"[-0.03495266  0.00450024  0.01741505 ... -0.00941025 -0.00992994
 -0.0212226 ]"
21,137,"[ 0.01829766  0.02223879 -0.01826901 ... -0.00398241  0.01478646
  0.02047252]"
22,220,"[ 0.02453359 -0.01533259 -0.02100242 ...  0.08587885 -0.00965448
 -0.02913106]"
23,390,"[-0.0315064   0.03855882 -0.02061727 ... -0.03957994  0.04608786
  0.01932192]"
24,102,"[ 0.00622797 -0.01173656  0.01212024 ...  0.02210671  0.01510046
  0.00260277]"
25,333,"[ 0.05626423 -0.01269947 -0.02014861 ... -0.03939582 -0.02855299
  0.00456029]"
26,1130,"[ 0.02221216  0.02131624 -0.0037061  ... -0.03040748 -0.06721871
  0.05382607]"
27,314,"[ 0.02425584 -0.00521168 -0.04245236 ...  0.00083346  0.01398176
 -0.01167686]"
28,61,"[-0.04849583  0.02105621  0.01029967 ...  0.00909434  0.00875061
 -0.03943929]"
29,807,"[-0.00784553 -0.0342958  -0.01954052 ...  0.03776464  0.07637358
 -0.01186715]"
30,931,"[-0.00571566  0.03537554  0.01607486 ... -0.06363727  0.04967814
 -0.01122251]"
31,901,"[ 0.02317799 -0.00799242  0.03324295 ... -0.02870715 -0.00143517
 -0.01961142]"
0,632,"[-0.02678273 -0.00364808 -0.00881204 ... -0.01543301 -0.02364406
  0.00588375]"
1,101,"[-0.0224955  -0.01918357 -0.00173954 ... -0.02162364  0.00030272
  0.01716408]"
2,922,"[ 0.00033866 -0.00873907 -0.01367162 ... -0.02460187  0.00454088
  0.02215792]"
3,1073,"[-0.01459262  0.04686501 -0.00440575 ... -0.02363341 -0.03714962
 -0.01494058]"
4,788,"[-0.01973551 -0.02064018 -0.01142388 ... -0.01398437  0.03443076
  0.01200528]"
5,396,"[-0.0275546   0.00687082 -0.00323388 ... -0.04462531 -0.0258333
  0.04040522]"
6,189,"[-0.03088166  0.01628839 -0.00342628 ... -0.04639259  0.00888914
 -0.01936341]"
7,358,"[-0.00305859 -0.03328304 -0.02961472 ... -0.0149596   0.02642143
  0.02890179]"
8,532,"[ 0.00318742  0.00469678  0.01900898 ...  0.01353968  0.05311267
 -0.01391678]"
9,1120,"[-0.0453349   0.01202747 -0.00074074 ... -0.01505555 -0.00081501
 -0.00840195]"
10,193,"[-0.02257329 -0.01178898 -0.00894553 ... -0.00719636  0.00630077
 -0.01800437]"
11,366,"[-0.01451751 -0.01258694 -0.00926837 ... -0.02176449 -0.02327471
  0.01750509]"
12,534,"[-0.00180196  0.00343152 -0.02430315 ...  0.00367374  0.01976519
  0.00244199]"
13,481,"[-0.04110429  0.04510692 -0.00139683 ...  0.03995753 -0.03382427
  0.00390355]"
14,579,"[ 0.00243136  0.00858648 -0.01128599 ... -0.00672416 -0.01978191
  0.10310819]"
15,611,"[ 0.01566894 -0.01373397  0.00389092 ...  0.02117138 -0.00760237
 -0.0036196 ]"
16,536,"[-0.01348632 -0.03500034  0.00176496 ... -0.03083158  0.05603517
 -0.03572509]"
17,333,"[-0.01451625 -0.05218251  0.01461302 ... -0.03002225  0.01083558
 -0.02413471]"
18,1319,"[ 0.0006829  -0.02509783 -0.00420804 ... -0.02317896 -0.03091664
  0.03039166]"
19,353,"[ 0.07177231  0.0180601   0.00928319 ... -0.01332916  0.00981831
  0.00016824]"
20,150,"[ 0.02992147 -0.02481531 -0.01563181 ...  0.00923465  0.0096527
  0.03088621]"
21,125,"[ 0.00417793 -0.03169129  0.002249   ... -0.00599301  0.05166546
  0.01140002]"
22,315,"[ 0.0226047   0.02141667  0.00694975 ... -0.03906912 -0.00298455
 -0.00806576]"
23,146,"[ 0.01127117  0.04357885 -0.04721053 ... -0.0064486   0.0239236
  0.08164975]"
24,74,[0.0206706  0.00852972 0.01947341 ... 0.02235809 0.00274677 0.00728748]
25,824,"[ 0.00866473  0.00052748  0.00381881 ... -0.0284311  -0.02052011
 -0.0370152 ]"
26,1607,"[-0.02639735  0.04313044 -0.0180892  ... -0.0201136  -0.04560154
  0.00068355]"
27,382,"[ 0.01248533 -0.00115061 -0.0060513  ... -0.00684514 -0.00416527
  0.03349216]"
28,1509,"[ 0.00095026 -0.00620818  0.03054655 ... -0.02180757 -0.02952292
  0.01780278]"
29,69,"[-0.02398626  0.01200501  0.01340391 ...  0.00215727  0.0325799
  0.0091485 ]"
30,165,"[ 0.01223647 -0.00611165 -0.02618303 ... -0.0044797  -0.06332891
 -0.02944495]"
31,1216,"[ 0.04160428 -0.00572118 -0.04191829 ... -0.05767737 -0.02757438
  0.03807883]"
0,323,"[-0.02611182  0.025763    0.00296715 ... -0.01607109 -0.01833525
 -0.03334856]"
1,72,"[-0.02257142  0.02146344  0.01961975 ... -0.00794295 -0.0459038
  0.00435895]"
2,158,"[ 0.0167788   0.0046176  -0.02798893 ... -0.01251753  0.01624457
  0.02557889]"
3,131,"[-0.00586949  0.02382534  0.01796077 ... -0.02812865 -0.02043199
 -0.02894427]"
4,1337,"[ 0.03810047 -0.0062028  -0.01941496 ...  0.02558647 -0.01057717
 -0.03281616]"
5,1554,"[ 0.00933163 -0.06225231 -0.01713238 ... -0.00035156 -0.0029016
  0.02725805]"
6,695,"[ 0.02324088 -0.04681939 -0.00278591 ... -0.03685381  0.03425208
  0.02614164]"
7,604,"[ 0.00047232  0.01889287  0.03308968 ... -0.02067108 -0.07076086
 -0.00668023]"
8,807,"[ 0.00918598  0.04455219 -0.01093141 ... -0.05209573 -0.02106094
  0.01810075]"
9,94,"[-0.05049402 -0.00495482 -0.04631409 ...  0.0373313   0.01999873
 -0.03495494]"
10,1001,"[ 0.01187338 -0.0254872   0.01868824 ...  0.01022308 -0.01127609
  0.01491751]"
11,484,"[ 0.00514208  0.01372296  0.01982481 ...  0.03094035 -0.05325762
 -0.00847864]"
12,1134,"[ 0.00194544  0.01249332 -0.0035516  ...  0.01160042  0.0055094
  0.00856125]"
13,247,"[ 0.00222254  0.08076518  0.01509873 ... -0.01489345 -0.03379388
 -0.00321907]"
14,85,"[ 0.00495655  0.01602397  0.00343254 ... -0.05273416  0.02391488
 -0.03224919]"
15,224,"[ 0.01450049 -0.00854575 -0.02005221 ... -0.03006297  0.03419299
  0.03518093]"
16,833,"[-0.00519454  0.03851605 -0.02375735 ...  0.01093124  0.03825993
  0.02648482]"
17,3,"[-0.02840437  0.00913505 -0.00780265 ... -0.02332458  0.02044059
  0.02462536]"
18,837,"[ 0.04469627  0.01076224  0.01938859 ... -0.06074696 -0.03331271
  0.04083828]"
19,51,"[-0.01330162  0.00675419  0.02125712 ... -0.02295212 -0.02439053
 -0.00218593]"
20,1603,"[-0.01574303 -0.03676293  0.01295632 ...  0.02420646 -0.01345398
  0.0141481 ]"
21,76,"[ 0.00041129 -0.01193007 -0.00583654 ...  0.01715515 -0.00045263
  0.0020495 ]"
22,868,"[-0.00622373 -0.02282078  0.01215667 ... -0.03959329  0.04179458
 -0.01638217]"
23,312,"[ 0.04066115 -0.0013594  -0.05469691 ...  0.0549144  -0.03356656
  0.05440117]"
24,1029,"[ 0.05595649  0.05301879 -0.0191958  ... -0.0209561  -0.02133386
 -0.01136984]"
25,72,"[-0.01228698 -0.04425583  0.01772217 ... -0.03031042 -0.01316932
  0.03750185]"
26,192,"[ 0.02260965  0.01800637 -0.0100144  ...  0.0437357  -0.02655108
  0.01975802]"
27,712,"[ 0.06371852 -0.02470581 -0.02029211 ...  0.00349896  0.03657306
 -0.01512503]"
28,137,"[ 0.04487066 -0.00017534 -0.00574573 ...  0.05330765 -0.02238942
 -0.03492782]"
29,1306,"[-0.00817673 -0.04460835 -0.01881256 ... -0.01030244  0.00066541
  0.02998837]"
30,12,"[-0.00432817  0.00963082 -0.01766663 ... -0.01435147 -0.00422819
  0.02778618]"
31,1808,"[-0.0436368   0.01613761 -0.02685693 ... -0.07478683 -0.01521432
  0.10962418]"
0,1118,"[ 0.04471273  0.01660758 -0.0240206  ... -0.00910336 -0.02774756
  0.01531115]"
1,282,"[-0.04623913  0.02231462 -0.02442282 ...  0.02831525 -0.04358728
  0.0348655 ]"
2,406,"[-0.04517466 -0.01580913 -0.00681656 ... -0.02308897 -0.03212637
  0.00964028]"
3,216,"[ 1.7382232e-03  4.1512333e-02  1.5894989e-02 ...  1.4467566e-02
 -2.1897522e-03  1.4690682e-05]"
4,766,"[-0.04900413  0.00883174 -0.00038034 ... -0.02571417  0.02261399
 -0.00302311]"
5,659,"[ 0.01491945 -0.0110536   0.01091961 ... -0.0150593   0.00977415
  0.01109614]"
6,35,"[-0.00250822  0.00678295  0.01443205 ... -0.01169292 -0.02002372
  0.03010331]"
7,138,"[-0.04031779 -0.01010495 -0.04384316 ... -0.02718814 -0.00694929
 -0.01502912]"
8,384,"[-0.01603965  0.02732958 -0.04734067 ... -0.00756519 -0.03978727
 -0.02090568]"
9,1149,"[-0.01033315 -0.01215371 -0.0059478  ... -0.00403589 -0.00854342
 -0.012971  ]"
10,353,"[ 0.03468994 -0.01100024 -0.04067009 ...  0.02696245  0.00508893
  0.02186569]"
11,960,"[-0.005545    0.02000092 -0.03668641 ... -0.03240724 -0.01352744
  0.04929303]"
12,1014,"[-0.03113274 -0.05975471 -0.00245627 ...  0.01411943 -0.04483434
  0.03899945]"
13,1794,"[-0.00315617  0.00834811 -0.0177816  ...  0.00508524 -0.04152978
  0.00124375]"
14,3,"[-0.04098296  0.01303355  0.01439197 ...  0.00052589  0.00648445
 -0.01324261]"
15,1624,"[-0.00738776  0.07027867  0.01519648 ...  0.00181817  0.02908352
  0.0535611 ]"
16,370,"[-0.00724759  0.07030448 -0.03370132 ...  0.02953337 -0.0060925
  0.01915403]"
17,475,"[ 0.03679113 -0.01840081 -0.01157472 ...  0.0005042   0.00554673
  0.03200066]"
18,948,"[-0.03391216 -0.01374988 -0.02872425 ... -0.03379539  0.02675518
 -0.00518496]"
19,792,"[ 0.01098775 -0.00460969 -0.01453082 ...  0.0129998  -0.0028219
 -0.00271667]"
20,802,"[ 0.0367114   0.03373966 -0.02613867 ... -0.00839539 -0.0202834
  0.01467895]"
21,1277,"[ 0.00446611  0.01739208 -0.00389336 ... -0.01164126  0.05509512
  0.03433355]"
22,1554,"[ 0.01711973 -0.01468036  0.0203483  ...  0.0242596   0.00034757
 -0.01545742]"
23,1411,"[-0.01730494  0.00322284  0.06152172 ... -0.00401543 -0.00481796
 -0.01862759]"
24,443,"[ 0.0056127   0.00478522 -0.02264287 ... -0.04365196  0.02514853
  0.04162517]"
25,137,"[ 0.00374904  0.02619721 -0.01128987 ...  0.0095859   0.01361307
 -0.00066237]"
26,516,"[-0.04533079 -0.00532966  0.01231452 ...  0.07247517 -0.02764902
 -0.01484641]"
27,483,"[-0.0150351   0.00645835 -0.00125117 ...  0.00018065 -0.00488146
 -0.02977183]"
28,1457,"[ 0.03622212  0.01117566  0.0315749  ... -0.04011402  0.03830991
 -0.00208425]"
29,1275,"[-0.02583382 -0.01025746 -0.01769374 ...  0.02808998  0.04772544
 -0.02367813]"
30,125,"[-0.00370673  0.07979769 -0.01982765 ... -0.03237573 -0.04891502
 -0.02607172]"
31,51,"[ 0.03439742 -0.02632425 -0.01418486 ... -0.03336814 -0.01659141
 -0.00118671]"
0,258,"[ 0.00695116  0.04391888 -0.00612026 ...  0.00779343  0.00619588
 -0.0158852 ]"
1,1228,"[-0.00790863 -0.03987285 -0.01216345 ...  0.03453047 -0.02423775
  0.01909211]"
2,752,"[-0.00871781 -0.00043142  0.03216593 ... -0.01250996  0.01873089
 -0.01172825]"
3,1503,"[ 0.01163094  0.02162283 -0.00311983 ... -0.0031654  -0.03571657
  0.00030206]"
4,412,"[-0.0006333  -0.02134127 -0.02644025 ... -0.00656126  0.04918984
  0.01709885]"
5,52,"[-0.04384194  0.04279575 -0.00638968 ...  0.01205514 -0.01906557
  0.01361679]"
6,749,"[ 0.0059673  -0.00955307  0.0089733  ... -0.02207718 -0.02788264
  0.05250968]"
7,752,"[ 0.07601573 -0.02157302 -0.02025246 ... -0.0278874   0.05573753
 -0.01342746]"
8,285,"[-0.01498549  0.00495081  0.01734157 ...  0.01708415  0.00678545
  0.03142108]"
9,488,"[-0.015927   -0.01931894  0.00767606 ... -0.01283951  0.04682332
 -0.0145883 ]"
10,479,"[-0.02215349 -0.03588019  0.02035611 ...  0.02193639 -0.03861016
 -0.04900267]"
11,138,"[-0.00168833 -0.03566978  0.02838727 ... -0.01234949 -0.06372995
  0.04270815]"
12,195,"[-0.02652115  0.0052397  -0.03735299 ...  0.01197412  0.01480527
 -0.02645649]"
13,1179,"[-0.02414034  0.0383429  -0.0195659  ... -0.01739773 -0.00977311
  0.01751156]"
14,345,"[-0.0128653   0.00828015 -0.02730471 ...  0.04191946  0.05121622
 -0.00888276]"
15,1444,"[ 0.0665238  -0.01147702  0.0066067  ...  0.01701688  0.01990058
  0.03564871]"
16,193,"[ 0.02508545 -0.00541871 -0.00763564 ...  0.00159264 -0.0686722
  0.01754628]"
17,49,"[-0.02266983 -0.01250689  0.01759959 ... -0.03698841  0.01658003
  0.00221774]"
18,412,"[-0.00345251 -0.00609804 -0.03977365 ...  0.0021879  -0.01662694
 -0.02311005]"
19,148,"[ 0.02682453 -0.00077248 -0.0066746  ... -0.0046465  -0.01586561
  0.03198908]"
20,407,"[ 0.05448728 -0.03020111 -0.05280558 ... -0.01724542  0.03548022
  0.00762688]"
21,1342,"[-0.01755677 -0.00982301 -0.00304348 ...  0.01343858  0.01184849
  0.02172866]"
22,425,"[-0.02706225  0.00831853 -0.01696713 ... -0.02022047 -0.00123283
  0.00641707]"
23,506,"[ 0.03605888 -0.00789941  0.00215809 ... -0.0088205  -0.02452585
 -0.00799724]"
24,34,"[ 9.1547612e-05  1.3440005e-03  4.1824743e-02 ... -3.1768564e-02
  2.4672146e-03 -2.0334711e-02]"
25,101,"[-0.0122047  -0.02269065 -0.01894556 ... -0.00065647 -0.00967762
  0.03671822]"
26,1114,"[-0.00148996 -0.01636019  0.01397729 ... -0.0508261   0.06097115
 -0.01601417]"
27,181,"[-0.00763295  0.00105354 -0.02009342 ...  0.02711665  0.00469774
 -0.00290582]"
28,211,"[-0.01862268 -0.01847803 -0.01679189 ...  0.01834671  0.00609209
  0.01341297]"
29,1635,"[-0.00876501  0.00945919  0.02862731 ... -0.02378306 -0.00740686
  0.04868503]"
30,699,"[-0.01523563  0.02667607 -0.01112443 ... -0.01034056  0.07402392
 -0.05788064]"
31,383,"[-0.0156317   0.0168217   0.00346514 ... -0.00551849 -0.02390918
  0.03022987]"
0,13,"[ 0.05045784  0.02463506 -0.00987996 ... -0.01189465  0.01172489
 -0.01227425]"
1,516,"[-0.03615024 -0.0062744  -0.00313375 ... -0.0186474   0.02125943
 -0.02452787]"
2,809,"[-0.03821578 -0.01445457  0.01676989 ...  0.0177059   0.006035
  0.07676339]"
3,866,"[-0.05755566  0.00853137 -0.02287175 ... -0.02766196  0.00898197
  0.04054062]"
