Index,True Label,Embedding
0,1087,"[-12.911793    0.5953147  -1.4885669 ...   6.057621    1.8187575
   2.3456106]"
1,852,"[-10.431249     8.065872     0.10384504 ...   1.8105788    3.9928615
  -0.04040876]"
2,190,"[-8.23363     0.01539392  2.4474828  ...  1.414122   13.000317
 -2.4518242 ]"
3,132,[-4.85393    5.3783684 -3.8751302 ... -7.169508   0.5017169 -1.00998  ]
4,629,[-5.8725395 -1.156991  -1.780911  ...  5.7830386  6.5696645  4.65466  ]
5,494,"[ 2.8521075   2.5356307   1.709602   ...  0.15613481  2.80231
 -3.7681513 ]"
6,58,[-5.429458  -1.5785536 -1.9874198 ...  5.47316    5.5424404  3.7742882]
7,78,"[-0.03048406 -1.9754963  -4.031129   ... -2.7505033  10.300823
  1.9720974 ]"
8,1382,"[-10.981065     2.421442    -2.539077   ...   1.589978     0.08581334
  -3.3362365 ]"
9,157,"[-10.698286    -2.4295714   -3.3152442  ...   8.016991     9.843353
   0.57339156]"
10,1478,[-1.9689006  4.3735714  1.5201505 ... -3.5666876  1.4823748  3.0791473]
11,34,"[ 1.5735925   5.0641003  -0.4602244  ... -0.67144334  8.318329
 -2.395442  ]"
12,654,[-0.3861684  4.7589564  1.0517542 ...  1.4564606  2.1385114 -1.2156162]
13,263,"[-13.016234   -5.089033   -0.9048179 ...  -2.467682   -2.3519695
   1.7956866]"
14,1364,"[-10.747901    -0.71755224  -5.932344   ...   3.9711926   -2.397356
  -5.377779  ]"
15,599,[ 2.5387638 -2.3639665 -3.3856592 ...  6.101688   4.242642  -6.96075  ]
16,1669,[-6.287893   2.4474063 -3.042032  ... 11.072765   7.29551    1.1351744]
17,66,[-2.6221213 -1.5821398  2.02087   ...  7.254325   4.537741   3.3997278]
18,58,"[-11.3112      -0.30863404  -0.46609256 ...   5.2007256    5.012347
  -2.4008856 ]"
19,1466,"[-16.320375     4.2759743    3.173493   ...  11.226194     8.038517
  -0.26091397]"
20,9,"[ 2.9121268   3.0860658  -0.00538324 ...  3.7870662   3.9192686
  0.23508672]"
21,117,"[-9.620311   -2.0854506   0.02548793 ... -4.0399613  -0.55945385
  3.0425017 ]"
22,132,[ 2.296367   6.1266804  6.5342627 ...  5.8420644  1.0261128 -4.701067 ]
23,1589,"[-10.309878   -2.6645753  -0.2238089 ...  -2.441397   -0.742297
   2.5964968]"
24,999,"[-3.6801665  -8.822853   -0.15556635 ... 13.457724    0.29760373
 -1.2289497 ]"
25,876,[ 5.8175592  5.092126   2.5478795 ...  2.4669938  3.5687416 -1.387542 ]
26,35,"[-8.321626    0.81356883  0.844541   ... -2.2139506  -2.828026
 -0.14810286]"
27,1140,[-6.5675125 -0.5206404  1.1912886 ... 10.277731   1.1153246  2.6090562]
28,1648,"[-14.130813     3.2943132    0.37525484 ...  -4.018731    -2.9110246
   0.8547127 ]"
29,1800,[-8.504758   0.5297661 -1.8892742 ...  7.448945  11.876053   6.8475723]
30,578,"[-10.554193    5.2888308   1.0812172 ...   8.044466    8.974287
   1.1629419]"
31,78,"[-12.112966   -3.7238324  -2.680195  ...   2.9417133  -3.752162
   4.1978526]"
0,501,[-1.6119193  4.7621603 -2.5884435 ...  2.937756   9.110403   1.4156461]
1,283,[-4.2926493  5.1981244 -7.795595  ...  5.4333625  3.0247264 -0.6853653]
2,748,"[-8.218533   -0.44178945 -0.77697617 ... -0.3684745   1.7992818
  1.2825692 ]"
3,652,[-4.2603517 -4.6160555  1.6280316 ...  6.00921   -1.4923263  1.8252907]
4,358,"[ 0.61142606  8.131226    4.321486   ...  8.592589    3.8972592
 -1.4588692 ]"
5,65,[-6.6242876  2.6668885 -1.5701116 ...  2.2681537  1.9547721 -1.092581 ]
6,117,"[-8.014238    3.3165681  -1.8835229  ...  8.498706    0.6190814
 -0.30688924]"
7,1003,[ 3.112333   4.6979837 -3.9460595 ...  0.9030082  3.2059515 -4.0288715]
8,81,[-6.723522   7.98298   -7.138372  ...  3.4582357  3.9145515 14.273796 ]
9,401,"[-7.4823604  -4.191142    0.29530752 ... 10.382919   10.048156
 -3.629221  ]"
10,621,[ 1.7336093 -1.0764465 -1.1861401 ...  3.128521  -4.8267426 -2.0649953]
11,1180,"[-9.296617    4.200904   -2.050657   ...  0.14572707  5.7892613
 -0.28384814]"
12,79,"[ 1.1763108e+00 -1.2736726e-02 -2.7583992e+00 ...  1.4379705e+01
  4.5658302e+00 -2.0837831e+00]"
