Index,True Label,Embedding
0,1593,"[ 0.08903117 -0.00194987  0.00354822 ...  0.00711382  0.0131673
 -0.0058095 ]"
1,559,"[-0.00594991  0.01818863  0.02927803 ... -0.00272322 -0.0043122
  0.00717978]"
2,208,"[-0.00119947  0.00779545  0.00539696 ...  0.00380282  0.00052305
  0.01764316]"
3,33,"[ 0.02630566  0.00213736 -0.01218043 ...  0.01739098  0.00664147
  0.01307523]"
4,324,"[-0.00154199 -0.00257716 -0.000152   ... -0.01272063 -0.01778168
 -0.01397157]"
5,663,"[ 0.00880391  0.00450449  0.00828655 ...  0.01638192 -0.00273907
  0.00097617]"
6,337,"[-0.04015494 -0.00225775  0.00802764 ... -0.01868539 -0.00040738
  0.00326422]"
7,13,"[-0.03898362  0.0027973   0.00056387 ... -0.00618715 -0.01306514
 -0.00290657]"
8,389,"[ 0.03962214  0.00536841  0.00067309 ...  0.00686014 -0.01340053
  0.00945176]"
9,227,"[-0.01746021  0.01474523 -0.01946597 ...  0.00906936 -0.0098592
 -0.00967103]"
10,49,"[-0.03222836  0.02111773  0.00489688 ...  0.0053912   0.00170968
 -0.00856789]"
11,16,"[ 0.01636292  0.02125063 -0.02056084 ...  0.00560884 -0.02618935
  0.00036566]"
12,609,"[-0.01841158  0.04328532  0.00675053 ...  0.01774662 -0.01576182
 -0.00466834]"
13,369,"[-0.00808396 -0.02259349  0.00733592 ... -0.00945216 -0.00500962
 -0.01057931]"
14,1164,"[-0.01755537  0.04951815 -0.01077287 ... -0.01120396  0.00021552
 -0.01489792]"
15,1744,"[-0.03164482  0.00409474 -0.008032   ...  0.00361594 -0.00376307
 -0.00306035]"
16,102,"[-0.01571176  0.05374408  0.00995101 ...  0.00518605 -0.00872806
 -0.00919443]"
17,113,"[-0.00726857  0.0143554   0.00070034 ... -0.01828857  0.00757503
 -0.00587762]"
18,728,"[-0.00394177 -0.00753045  0.00410597 ... -0.01435335  0.02272162
  0.01588977]"
19,862,"[ 0.02652276  0.00626231  0.00477264 ... -0.01793346 -0.02968797
 -0.00605762]"
20,704,"[ 0.0697126  -0.01221574 -0.0077249  ... -0.01023052 -0.00023745
  0.01852316]"
21,160,"[-0.01992688 -0.00255185 -0.0098426  ...  0.01276507  0.0167703
 -0.0072131 ]"
22,1130,"[-0.01195439  0.00626554  0.00545049 ...  0.02284465  0.00109216
 -0.0109787 ]"
23,1608,"[ 0.00328553  0.0067588   0.0129966  ...  0.00443213 -0.01313803
 -0.01107919]"
24,78,"[-0.00572398 -0.00641112 -0.00639821 ...  0.02608779 -0.00024353
  0.00097334]"
25,1319,"[ 0.01563731  0.03728675  0.00288427 ... -0.01297761  0.00300276
 -0.01199805]"
26,356,"[ 0.0056786   0.00809271 -0.01049924 ...  0.01961432 -0.03242166
 -0.00020854]"
27,29,"[-0.02037902 -0.01469558 -0.00443072 ...  0.00280319 -0.01197416
  0.0150413 ]"
28,277,"[ 0.00375188 -0.012713   -0.0212523  ...  0.05021459  0.00745124
 -0.01646691]"
29,177,"[-0.01376925  0.02246089 -0.01744143 ...  0.00668706  0.01262314
 -0.01670414]"
30,29,"[-0.02642766  0.03430134  0.01162697 ...  0.00595291  0.01064653
 -0.00861733]"
31,563,"[-0.00661241 -0.01940784  0.0064574  ... -0.00832228  0.01633914
  0.01115454]"
0,1140,"[-0.00311161  0.05315336 -0.02164636 ...  0.01235178 -0.001602
 -0.00398668]"
1,1668,"[ 0.00363905 -0.01916276 -0.00749691 ...  0.01366036 -0.02663021
  0.02025114]"
2,892,"[-0.01961746 -0.00249105 -0.0101112  ... -0.00319608  0.00028786
 -0.00444416]"
3,389,"[-0.00948037  0.01921662 -0.00806797 ...  0.00541184 -0.00861771
 -0.01078482]"
4,844,"[-0.00482577  0.03731661 -0.01603656 ...  0.01203656  0.00809445
 -0.01739239]"
5,1061,"[ 0.00662477  0.0038563   0.00362804 ... -0.0025413   0.03434981
 -0.00222753]"
6,79,"[ 0.01194596  0.00345159 -0.00153997 ... -0.00599829  0.00114631
  0.00339007]"
7,786,"[ 0.01305779  0.01062422 -0.01188117 ... -0.0084809   0.00168511
  0.00384896]"
8,1110,"[-0.00460599  0.00616186 -0.00515277 ... -0.00829462 -0.00602208
  0.00395665]"
9,314,"[-0.02575343 -0.01588582 -0.0155584  ... -0.01386892 -0.01014969
 -0.03033201]"
10,308,"[ 0.05720038  0.04041769 -0.02513318 ...  0.02811598 -0.0179509
 -0.02838685]"
11,1458,"[-0.00461174 -0.00218679 -0.02165585 ...  0.00693053 -0.0033897
  0.02259593]"
12,661,"[ 0.03918147 -0.00106816  0.03668803 ... -0.00975924 -0.00634437
 -0.02656474]"
13,486,"[-0.01060748 -0.01092185  0.01547978 ... -0.02089364  0.00134158
 -0.0221773 ]"
14,770,"[-0.01461258  0.01361404 -0.00474967 ... -0.01785312  0.01160498
  0.01922487]"
15,181,"[-0.02131663  0.03030678 -0.00230446 ...  0.00893501  0.00382561
  0.00401501]"
16,192,"[-0.00898027  0.00303239 -0.00094274 ... -0.00916742  0.01234263
 -0.00380224]"
17,29,"[ 0.00449729  0.00467214 -0.0016003  ... -0.00518325 -0.0078552
  0.00350819]"
18,352,"[ 5.4758610e-03 -9.7585376e-05 -9.4878376e-03 ...  8.1948955e-03
  5.6140069e-03  3.8817853e-02]"
19,40,"[-0.01173162  0.04172077 -0.0064949  ...  0.02103933 -0.00107565
 -0.00489942]"
20,464,"[-0.0188141   0.05190071  0.01619719 ...  0.01408966  0.00226471
 -0.00831038]"
21,78,"[ 0.00155432  0.0222773  -0.00355756 ...  0.00351841  0.0258634
 -0.00659807]"
22,770,"[-0.00688056  0.01616127  0.0165724  ... -0.01069143 -0.00532629
 -0.00425022]"
23,463,[0.0126837  0.00018669 0.00313286 ... 0.00393839 0.01225219 0.00780436]
24,1255,"[-0.01271934  0.01633338  0.00773693 ... -0.00539003 -0.00995897
 -0.01066908]"
25,405,"[-0.00150754 -0.00939771 -0.01367289 ... -0.01142116  0.00803861
 -0.00872637]"
26,251,"[ 0.011533   -0.01186888  0.00329597 ... -0.00827372 -0.00447794
 -0.01149284]"
27,1244,"[-0.0283092   0.05829574 -0.00053916 ...  0.00196175 -0.00710806
 -0.0143607 ]"
28,79,"[ 0.01604607  0.00014324 -0.0126002  ... -0.00540987  0.00156351
 -0.00616096]"
29,1054,"[-0.01316345 -0.00674588 -0.00687606 ... -0.01010907  0.00820068
  0.00724123]"
30,1703,"[-0.00432614  0.00463216  0.00025903 ...  0.00117295 -0.00042805
  0.01542154]"
31,165,"[-0.00149546 -0.00346399  0.00604336 ... -0.0098352  -0.0062116
 -0.02195369]"
0,72,"[ 0.01370776  0.01576564 -0.00577284 ...  0.0372952   0.00308551
 -0.0030983 ]"
1,758,"[-0.00251235 -0.00904424 -0.00642484 ... -0.00891935 -0.00994958
  0.02212623]"
2,1238,"[ 0.04131539  0.02309399  0.00346755 ...  0.01264472  0.00692414
 -0.01235791]"
3,78,"[-0.00795717 -0.01921077 -0.00192824 ...  0.00203004  0.00920435
 -0.00825773]"
4,65,"[-0.00102619  0.02773654 -0.00921102 ...  0.01636793  0.01968722
  0.00585837]"
5,795,"[ 0.00484395 -0.00240147  0.00023021 ...  0.0021055   0.01186265
 -0.0041676 ]"
6,1371,"[-0.0007704   0.01116735 -0.00210322 ...  0.00862429  0.00549819
 -0.00173656]"
7,1317,"[-0.00839847  0.0141726  -0.00074164 ...  0.01570013  0.00732448
 -0.02357816]"
8,72,"[-0.01460861  0.00103883 -0.01953523 ... -0.00724619 -0.00445741
 -0.00767446]"
9,56,"[ 0.01478606  0.0131168  -0.0133494  ...  0.005478    0.00438923
 -0.00684597]"
10,65,"[-0.01845294  0.00561733  0.00012623 ...  0.0080027   0.01851103
  0.03435984]"
11,864,"[ 0.00135709 -0.02942765 -0.02903163 ... -0.01207956  0.01156934
  0.04368506]"
12,425,"[-0.01154884 -0.00573584  0.0241238  ...  0.01420346 -0.00849343
 -0.00020661]"
13,148,"[-0.03474946  0.00835201  0.01130276 ...  0.02954212 -0.01017835
 -0.02648799]"
14,1159,"[-0.00625083  0.01257788 -0.00869404 ...  0.01796811  0.02043131
  0.00522972]"
15,83,"[ 0.0012721  -0.01088385  0.01624861 ... -0.01121221  0.00152757
  0.02757611]"
16,167,"[ 0.00325062 -0.00213479  0.01699408 ... -0.00775955  0.01534994
 -0.00268464]"
17,1301,"[ 0.03164962  0.06290288 -0.0054385  ...  0.06751347 -0.02571064
  0.0098366 ]"
18,65,"[ 0.01517394 -0.00068802 -0.00338645 ...  0.01694365  0.01693043
 -0.00174551]"
19,412,"[ 0.00503506 -0.00103744 -0.016521   ... -0.01822191  0.00664356
 -0.01832124]"
20,273,"[ 0.00233168 -0.00211308 -0.0037606  ... -0.0118856   0.00266113
 -0.00238713]"
21,313,"[-0.0031303   0.04833006 -0.02458719 ...  0.01188329 -0.00883796
 -0.0388242 ]"
22,218,"[-0.01479174  0.02206681  0.01118426 ...  0.01872781 -0.00249666
  0.01765323]"
23,39,"[-0.00915656 -0.00416112 -0.00548174 ... -0.01469217 -0.00101649
  0.00924352]"
24,390,"[-0.02112993  0.00192948 -0.00332023 ... -0.0085402  -0.01806267
 -0.00904878]"
25,18,"[-0.02774427  0.01839449 -0.0020362  ... -0.02145911 -0.00444058
 -0.01418272]"
26,15,"[-0.01120505 -0.0295854  -0.01031571 ... -0.01232602  0.03209202
  0.04643174]"
27,101,"[-0.04127268  0.0141125  -0.00319057 ... -0.00207145 -0.0090832
 -0.03480524]"
28,808,"[-0.00585397  0.00282149  0.02067841 ...  0.00315685 -0.00353436
 -0.00028778]"
29,357,"[-0.01105565  0.00362186  0.02012615 ... -0.00664505  0.00329256
  0.02265584]"
30,10,"[ 0.00318974  0.01702075 -0.00368422 ...  0.00867687  0.00408497
 -0.00203208]"
31,1459,"[-0.02284758  0.01297344 -0.02267038 ... -0.02367149 -0.00254642
  0.00290778]"
0,830,"[-0.03694559 -0.02377755 -0.01077126 ... -0.01478373  0.01213656
 -0.00356614]"
1,457,"[-0.00167223  0.01046823 -0.01029336 ...  0.00200992  0.00250337
 -0.01659293]"
2,131,"[ 0.02011754  0.01971948  0.00854342 ... -0.01161884  0.00994834
 -0.00330317]"
3,268,"[-0.00085485  0.02068009 -0.00463122 ... -0.02441749 -0.00192606
 -0.00742135]"
4,207,"[-0.01373575 -0.00416783  0.01174254 ...  0.0071495   0.00829931
  0.02264846]"
5,1627,"[ 0.05244309  0.02240348 -0.01372207 ... -0.00338477  0.03782585
 -0.00650045]"
6,217,"[-0.01775534  0.0123102   0.00366945 ...  0.0037307  -0.00398891
 -0.00277159]"
7,623,"[ 0.00085381  0.02173973 -0.00409214 ... -0.00355188 -0.00519296
  0.02461001]"
8,1077,"[-0.02528639  0.00495445 -0.01878742 ...  0.02124154  0.00854538
 -0.01400857]"
9,978,"[ 0.0407625  -0.02091539  0.03239114 ...  0.01486574 -0.00730897
 -0.03120458]"
10,207,"[ 0.01172249  0.00147416 -0.00750064 ...  0.01282947  0.0005902
  0.02092016]"
11,790,"[ 0.02366569  0.02269279  0.01630445 ... -0.00577298 -0.00854214
  0.00619031]"
12,58,"[-0.04581401 -0.02516233  0.02392729 ...  0.02017169 -0.01782764
 -0.01517893]"
13,258,"[-0.00016566  0.02868147  0.00448191 ...  0.00296915 -0.00969952
 -0.00653754]"
14,884,"[-0.03876303  0.01800308 -0.01909096 ...  0.0286189   0.0001646
 -0.01908528]"
15,69,"[ 0.01174974  0.00930648  0.00882201 ...  0.00992243  0.02166627
 -0.00487379]"
16,907,"[ 0.00128323 -0.00203579 -0.00120358 ... -0.0188321   0.01376471
  0.00993383]"
17,1184,"[-9.0745417e-03 -7.0727989e-04 -2.3976840e-02 ...  4.1877851e-05
 -5.8518825e-03  4.6338672e-03]"
