Index,True Label,Embedding
0,427,"[ 0.04291222 -0.0589254  -0.0144664  ...  0.01509407  0.02220428
  0.00728881]"
1,230,"[ 0.02684159  0.00461701 -0.03302385 ...  0.06106194  0.03023282
  0.00822389]"
2,1380,"[ 0.01653919 -0.00543564 -0.00282115 ... -0.00499962  0.01100325
 -0.00751483]"
3,152,"[-0.00166372  0.01181087 -0.02416624 ... -0.00494008 -0.0254951
  0.01877019]"
4,179,"[ 0.02995399 -0.01610341 -0.00971303 ...  0.01693596  0.00709114
  0.01676787]"
5,747,"[ 0.02363734 -0.0180498  -0.03162438 ...  0.00822605  0.04292595
 -0.00460372]"
6,1160,"[ 0.05537728 -0.00143996 -0.05075939 ... -0.05089562 -0.00351299
 -0.02028855]"
7,157,"[-0.00748859 -0.02081846  0.02600078 ... -0.02767264  0.00764149
  0.0120256 ]"
8,734,"[ 0.00154081 -0.01598264 -0.03149846 ... -0.00382499 -0.03190639
  0.01635566]"
9,149,"[ 0.03139757  0.009017   -0.04747561 ...  0.00799733  0.02018864
 -0.01396441]"
10,1137,"[ 0.00672899 -0.05867603  0.0425921  ... -0.03174514 -0.01064096
  0.01159445]"
11,258,"[ 0.04695475 -0.01551098 -0.01687662 ...  0.03747135 -0.01986178
 -0.00028638]"
12,72,"[ 0.02739372 -0.03518505 -0.00373196 ... -0.02491613 -0.02731238
  0.02672204]"
13,322,"[ 0.00988725 -0.03121459  0.013787   ...  0.01951917  0.00515917
 -0.04370561]"
14,98,"[ 0.01739806  0.00379189 -0.00586239 ... -0.01416722  0.02620808
 -0.02153471]"
15,100,"[-0.01475524 -0.01980961 -0.00996053 ... -0.02835874  0.06802932
 -0.0027033 ]"
16,72,"[-0.01828761 -0.03298349 -0.01477774 ...  0.00555878  0.00199906
  0.01629398]"
17,968,"[-0.01139892 -0.01179951 -0.04382304 ... -0.03301237  0.02888939
 -0.00897931]"
18,389,"[ 0.00203938  0.00880698 -0.02714592 ... -0.03761027  0.00124461
  0.00634519]"
19,1804,"[ 0.00742734 -0.01211164 -0.03886983 ... -0.01748752  0.08999636
 -0.01277052]"
20,828,"[ 0.04464124  0.00941478  0.00192136 ... -0.02278109 -0.00869304
 -0.03030523]"
21,65,"[ 0.02248029  0.00523116  0.00833216 ... -0.04422809  0.03013699
  0.00065572]"
