Index,True Label,Embedding
0,139,"[ 0.1341434   0.02635048 -0.02530322 ...  0.11089996 -0.03414541
  0.02606616]"
1,0,"[ 0.04480221 -0.02248507  0.08909189 ...  0.07822596  0.03127707
  0.00936107]"
2,196,"[ 0.01652047 -0.00345553  0.01158321 ...  0.06461651 -0.03959794
 -0.05337698]"
3,939,"[ 0.07423284 -0.0693717  -0.08830188 ...  0.00039406  0.07719116
 -0.12029525]"
4,734,"[-0.0415143  -0.01939695 -0.00357968 ...  0.05081738 -0.0328653
  0.02490981]"
5,65,"[ 0.02312539  0.01498197 -0.08016442 ...  0.03491845  0.02097525
  0.00557216]"
6,380,"[-0.06028652 -0.06560767  0.02331443 ... -0.09612323  0.02738971
 -0.00907039]"
7,1077,"[ 0.1141644   0.01451747 -0.06343294 ...  0.09870481 -0.00614349
 -0.05019246]"
8,1006,"[ 0.04834557  0.13983405  0.00393099 ...  0.02471993  0.0038366
 -0.01861555]"
9,795,"[-0.10343809 -0.10693911 -0.03712942 ...  0.06100627  0.0467677
 -0.09411912]"
10,25,"[ 0.14438172 -0.04977572 -0.01187572 ...  0.19370772 -0.09282446
 -0.03885239]"
11,550,"[-0.02651414  0.11869568 -0.01735803 ...  0.08530395 -0.11047224
 -0.0058556 ]"
12,797,"[-0.04450888 -0.03059909  0.06697176 ...  0.02089736 -0.02093521
  0.00284835]"
13,392,"[-0.02655588  0.0182423  -0.14903912 ...  0.02101574  0.05925534
  0.07412723]"
14,237,"[-0.12100529  0.04168771 -0.12380251 ...  0.20998912 -0.09536301
  0.02142661]"
15,444,"[-0.00663464  0.07464796  0.02317853 ... -0.03547568  0.0026693
 -0.04373119]"
16,29,"[ 0.05857999 -0.05285378 -0.05602529 ...  0.13633794 -0.06094677
  0.00659716]"
17,383,"[ 7.6291850e-05  8.4879108e-02 -2.5175508e-02 ... -3.8180608e-02
  4.2643272e-03 -2.3673268e-02]"
18,1373,"[-0.09753024  0.11479995 -0.01807137 ...  0.0433321   0.03320489
 -0.00763545]"
19,205,"[-1.4357572e-02 -3.9929219e-02 -4.1860234e-02 ... -9.1750408e-06
  2.5565825e-02  3.9419789e-02]"
20,964,"[ 0.02124126 -0.11414164 -0.01463296 ...  0.1236909   0.03200645
 -0.01814635]"
