Index,True Label,Embedding
0,192,"[-0.01721161 -0.06158264 -0.02297954 ...  0.00113457 -0.01811572
 -0.00334359]"
1,198,"[ 0.03683621  0.05048088  0.03149961 ...  0.00379524  0.00024813
 -0.02445602]"
2,212,"[-0.01442084  0.00599116 -0.00709615 ... -0.02778654 -0.01746311
 -0.00188682]"
3,38,"[ 0.01032035  0.00335166 -0.02568975 ...  0.01140938 -0.0411867
 -0.00038924]"
4,170,"[ 0.03141404  0.05528562  0.03041707 ... -0.00103483 -0.00154796
 -0.03020006]"
5,129,"[ 0.01565805  0.02385456  0.05170801 ...  0.00341652  0.00259768
 -0.01152287]"
6,100,"[ 0.01914368  0.01620036  0.07004709 ...  0.02087533 -0.01447354
 -0.0186908 ]"
7,132,"[-0.02923274  0.02387484 -0.03941135 ... -0.03639399 -0.00599717
  0.00556133]"
8,112,"[ 0.00231321  0.04680557  0.04464301 ... -0.01724143  0.00277938
 -0.01673717]"
9,103,"[ 0.02574155 -0.00243292  0.04350126 ...  0.02498616 -0.01131047
 -0.01746191]"
10,36,"[ 0.03891141  0.07170496  0.01865824 ... -0.01142765 -0.00642425
 -0.00400574]"
11,39,"[-2.5298733e-02  2.2744235e-02  1.4162880e-02 ...  2.2006705e-03
 -2.3564229e-02 -4.3412088e-05]"
12,153,"[ 0.0239176   0.01991912 -0.00440578 ...  0.00230802 -0.01297062
 -0.03267581]"
13,173,"[-0.01387866  0.01145983  0.01271572 ...  0.00210449 -0.02127775
 -0.00759866]"
14,21,"[ 0.02461158  0.02192391  0.00876135 ... -0.00017339  0.01378927
 -0.0060357 ]"
15,110,"[-0.01429223  0.00086408 -0.00700359 ...  0.00302435 -0.02990861
 -0.00183945]"
16,104,"[-0.03616836  0.01726918 -0.02322357 ... -0.0291089  -0.02107949
 -0.00777812]"
17,52,"[-0.00200102 -0.00369157  0.00505966 ...  0.00739533 -0.03120543
 -0.01085717]"
18,177,"[-0.03573645 -0.01128381 -0.03458691 ...  0.00843669 -0.02016193
 -0.01602228]"
19,105,"[ 0.01921226  0.04951496 -0.02218254 ... -0.01386553 -0.00094364
 -0.01488454]"
20,18,"[ 0.00329975  0.04101094  0.00089554 ... -0.00389503 -0.01205382
 -0.01876726]"
21,62,"[ 0.01373684  0.01175341 -0.00767384 ... -0.0163998  -0.00691691
 -0.00708932]"
22,211,"[ 0.00664849  0.00962555  0.02022079 ... -0.01727178 -0.01995187
  0.00146947]"
23,181,"[-0.0186936  -0.01133263 -0.01171151 ...  0.01851508 -0.01599112
  0.00635115]"
24,17,"[-0.00305351 -0.03925314 -0.04032144 ...  0.01663261 -0.03712178
  0.03096761]"
25,14,"[ 0.02050354  0.01960172 -0.00548352 ... -0.00877449 -0.02207451
 -0.00644935]"
26,72,"[ 0.01384834  0.02768616 -0.00594913 ...  0.00259437 -0.01631557
 -0.02818595]"
27,44,"[-0.01947477 -0.02619575 -0.0220791  ... -0.02994142 -0.02579609
 -0.01857708]"
28,131,[0.03320347 0.02502443 0.02854199 ... 0.02655293 0.01885903 0.00102426]
29,143,"[ 0.00911872  0.00570212 -0.02532636 ... -0.01358267  0.00903618
 -0.0104103 ]"
30,160,"[ 0.02544932 -0.00241534 -0.0327791  ...  0.02567507 -0.02592284
 -0.01861739]"
31,51,"[-0.00188202  0.02156592 -0.02942744 ... -0.00892096 -0.00545083
 -0.00302458]"
0,97,"[ 0.00162877  0.01484333  0.00218033 ... -0.02733318 -0.01151714
  0.00416666]"
1,179,"[ 0.00190892  0.04159145  0.02840395 ...  0.00898732 -0.00146713
 -0.03829878]"
2,185,"[ 0.01850127  0.004182   -0.0035344  ... -0.00989978 -0.03451025
  0.02858973]"
3,16,"[ 0.01576538  0.01448872 -0.00877204 ... -0.00922915 -0.02786146
 -0.01279615]"
