Index,True Label,Embedding
0,48,"[-0.04365788 -0.01610808 -0.00071477 ...  0.03430334 -0.01957816
 -0.01127677]"
1,65,"[-0.04390432 -0.01104636 -0.00651408 ... -0.02156115 -0.03109844
  0.03666258]"
2,61,"[-0.01899849 -0.01307784 -0.00703846 ... -0.00249319 -0.02628243
  0.02365891]"
3,147,"[-0.00984613 -0.01230231  0.00531377 ... -0.00300793 -0.02864602
 -0.02677005]"
4,24,"[ 0.01861112  0.02571436  0.00307556 ... -0.02144641 -0.03681363
  0.00762256]"
5,70,"[-0.00189861 -0.02496712 -0.01296032 ...  0.08922558 -0.00396348
 -0.04063217]"
6,88,"[-0.02633473 -0.01980173  0.01533083 ... -0.01257131 -0.05366605
 -0.0121817 ]"
7,176,"[ 0.03490943 -0.02107226  0.02959889 ... -0.01570439 -0.02818979
 -0.02273003]"
8,174,"[ 0.01292169 -0.00276974 -0.01786743 ... -0.05397068 -0.01718706
 -0.01251028]"
9,6,"[-0.01618943 -0.03940907  0.02669107 ... -0.0393834  -0.02791088
  0.00810418]"
10,69,"[-0.01042997 -0.00738694 -0.0327648  ... -0.00621642  0.00122602
  0.00640462]"
11,90,"[-0.01418915 -0.01327847  0.01644711 ... -0.02836441  0.00514167
  0.01354041]"
12,89,"[-0.01610442  0.00871553 -0.02612151 ... -0.04737414 -0.01909348
  0.00648892]"
13,186,"[-0.02068103  0.03504174 -0.00134748 ... -0.05438714 -0.0174137
  0.00898835]"
14,119,"[-0.02171086  0.01164125  0.01224342 ...  0.04440443 -0.01579893
  0.00675071]"
15,26,"[ 0.01782508  0.00069528  0.00882674 ... -0.03284755 -0.0174604
 -0.00421418]"
16,57,"[-0.02267667  0.01714987 -0.02487335 ...  0.01981477 -0.03939047
  0.03116849]"
17,140,"[ 0.01968201 -0.01417108  0.0124784  ... -0.03717472 -0.01604007
  0.00846994]"
18,161,"[ 0.02265025 -0.05078594  0.01716061 ... -0.02505078 -0.02706182
 -0.01527909]"
19,113,"[ 0.01974411 -0.03151529  0.01429537 ... -0.03472665 -0.04051479
 -0.00953938]"
20,125,"[ 0.03530214 -0.05176167  0.00904161 ... -0.02140769 -0.04754562
 -0.01560025]"
21,162,"[-0.01945967  0.0130435   0.00258689 ...  0.01124887 -0.03643755
 -0.01111801]"
22,54,"[-0.04271096 -0.00416376 -0.00920518 ...  0.02287252 -0.03172479
  0.0152713 ]"
23,163,"[-7.1987915e-03  9.6770469e-05  1.0257371e-02 ... -4.4096682e-02
 -5.2457988e-02  2.4683334e-02]"
24,121,"[-0.02619785 -0.03864036 -0.01440386 ...  0.04434807 -0.03026982
  0.00785556]"
25,149,"[-0.03166148 -0.00923006  0.01576844 ... -0.00796794 -0.02638544
  0.02402602]"
26,108,"[-0.01897219 -0.01656641 -0.00307887 ...  0.00906707 -0.03062158
 -0.00718516]"
27,0,"[ 0.00686367  0.00380059  0.00247537 ...  0.00990493  0.00476808
 -0.0218655 ]"
28,133,"[-0.0172418  -0.02241337 -0.00825119 ...  0.07441401  0.00270377
 -0.03636636]"
29,102,"[-0.04540182 -0.01599276 -0.00631295 ... -0.03030469 -0.04025883
  0.02137778]"
30,96,"[-0.01653238  0.00715672 -0.02989653 ...  0.03516337 -0.03238357
  0.03161528]"
31,142,"[ 0.00966191  0.03158742 -0.03552872 ... -0.08621395 -0.02601911
 -0.01474805]"
0,144,"[-0.01014944 -0.03296306 -0.01648285 ...  0.00130581 -0.03628064
  0.01897278]"
1,83,"[ 0.03395057  0.00266288  0.02342355 ... -0.04608442  0.0165064
 -0.00771468]"
2,12,"[ 0.04823553 -0.03736512  0.01684904 ... -0.02439618 -0.04200544
 -0.00942945]"
3,145,"[-0.02152691  0.01469484  0.02553756 ...  0.02101783 -0.00531288
 -0.03050441]"
