Index,True Label,Embedding
0,145,[ 1.13423    4.9856625 -3.7081358 ...  3.7516294  2.9683862 -5.0447574]
1,20,"[-0.43820956  4.4889317  -5.9080634  ...  0.618032   -1.9649552
 -4.385576  ]"
2,205,[ 5.1624575 -0.8790667 -3.167542  ...  3.3891869  5.3814745 -3.2557373]
3,114,"[ 0.06822791  2.2418592  -4.879847   ...  0.39981914 -1.2606804
 -5.0728703 ]"
4,101,"[ 4.600943   -0.22960173 -3.3624132  ...  4.4044614   3.0610943
 -2.4563193 ]"
5,22,"[ 0.64784205  4.2946043  -6.552214   ...  0.91860616  0.15709722
 -6.054292  ]"
6,74,"[11.419792    1.1048744   0.04785039 ...  6.310283    7.1792517
 -0.98115766]"
7,55,[ 1.7715834  1.3196448 -1.3073473 ...  6.7037005  8.089543  -1.2255106]
8,68,[ 5.541973   1.3482255  0.4919033 ...  3.2076879  3.823474  -2.3335094]
9,78,[ 1.098575   2.2638226 -3.4412925 ...  5.100274   3.3149781 -3.9498742]
10,59,[ 5.844155   1.8918543 -3.017588  ...  4.379056   3.0990124 -2.7842047]
11,146,"[ 6.049586    1.5706116  -0.18998726 ...  2.6282775   3.926912
 -2.725547  ]"
12,11,[ 1.9045182 -0.741178  -1.1674876 ...  4.4313135  3.870642  -1.2235006]
13,71,"[-2.723714    1.1602486  -5.8194437  ...  7.3738      0.69762635
  1.8123357 ]"
14,134,[ 1.9272815  5.509641  -4.3482976 ... -0.9232408 -2.0720098 -3.8714695]
15,180,[ 8.195448   0.6827281 -3.1338663 ...  2.961143   5.1778016 -1.6285777]
16,35,"[-0.19066224  7.51679    -4.7297907  ... -1.9399811  -2.639401
 -4.9980574 ]"
17,157,"[ 2.3822556  -0.88552815 -5.124311   ...  3.1689584   2.9997053
 -3.2730408 ]"
18,191,"[ 4.97704    -0.98419046 -3.5873222  ...  3.2567837   5.2356954
 -3.5194576 ]"
19,109,"[ 6.148411    3.4874456  -4.9431267  ...  8.230809    2.9956865
  0.50800914]"
20,37,[ 4.6785374  5.2385507 -5.638539  ...  5.4765306 -1.7725128 -2.0635064]
21,50,[ 8.268941  -1.2499764 -4.9945292 ...  1.7219428  4.4135623 -2.5414765]
22,122,[ 8.095111   0.8287179 -5.296655  ...  4.75145    4.097949  -1.8726598]
23,43,[ 8.392732   2.1549902 -0.7073824 ...  3.8580499  6.427379  -2.7513773]
24,195,[ 2.3243573  3.6947706 -4.1168456 ...  6.0346274  1.5341083 -4.7444773]
25,154,"[-3.0341446   0.65928364 -5.3069525  ...  6.78294     0.9037199
  0.9882161 ]"
26,85,[ 6.708354   2.405008  -3.0996478 ...  7.7335734  1.7336125 -3.811895 ]
27,120,"[ 2.536962    6.1004677  -4.191774   ...  0.79896325 -1.371724
 -4.247598  ]"
28,95,"[ 0.48128703  1.6223927  -7.1684213  ... -0.11291791  0.5234003
 -6.319809  ]"
29,115,[ 4.781153   4.3721848 -2.7158477 ...  4.3305182  2.0757794 -5.8493123]
30,49,"[ 1.9838067   5.017145   -4.2764707  ...  0.60389817 -2.014586
 -5.1859236 ]"
31,187,"[ 1.6108124   4.4979978  -7.0896783  ...  1.1729368   0.37445754
 -5.8419695 ]"
0,80,"[ 6.173889   -2.1303866  -5.683536   ...  0.56720686  4.3368607
 -2.811435  ]"
1,66,"[ 5.7176156   0.84930676 -6.186457   ...  4.4123783   3.8960485
 -3.9726117 ]"
2,164,"[ 2.5875733   6.129548   -5.1104903  ...  0.14110509 -1.6697011
 -3.8324912 ]"
3,41,"[-0.15088329  1.7821493  -5.249253   ...  1.8320099  -0.53688323
 -3.0508547 ]"
