Index,True Label,Embedding
0,145,"[ 6.9113545e-02 -4.2611039e-03 -2.6065926e-04 ...  1.0897109e-02
 -4.0034298e-05 -1.2084495e-02]"
1,20,"[ 0.11138584 -0.00085208 -0.00626694 ...  0.00868377 -0.00529368
 -0.01403186]"
2,205,"[ 0.13461651  0.00941898  0.00372875 ... -0.01010726 -0.00623297
 -0.02589379]"
3,114,"[ 0.07614546 -0.00335308 -0.0084364  ...  0.00974664 -0.00683882
 -0.01351545]"
4,101,"[ 0.09544507  0.00254038  0.00615435 ... -0.00748852 -0.00405854
 -0.01909918]"
5,22,"[ 0.05089905 -0.00738917  0.02060466 ...  0.01772628  0.01761843
 -0.01152696]"
6,74,"[ 0.10607591  0.01046283 -0.02110802 ...  0.0152036   0.01834067
 -0.03131848]"
7,55,"[ 0.03707897  0.03474767 -0.01143899 ...  0.00644309 -0.00211797
 -0.01410545]"
8,68,"[ 0.09677406  0.00085148  0.00079364 ... -0.00792644  0.00647496
 -0.01559751]"
9,78,"[ 0.06391777  0.00536941 -0.00379368 ...  0.00936052  0.0067567
 -0.0074753 ]"
10,59,"[ 0.09621576 -0.00947605 -0.00888443 ...  0.02381091 -0.00012034
 -0.0239946 ]"
11,146,"[ 0.10186037  0.00075483 -0.00216881 ... -0.01089329  0.00641931
 -0.01173727]"
12,11,"[ 0.10762514  0.00278802  0.0051311  ... -0.00401735  0.00132029
 -0.019952  ]"
13,71,"[ 0.06577174  0.00288161 -0.019751   ...  0.01858151 -0.01337029
 -0.02951569]"
14,134,"[ 0.02437039  0.00101631 -0.00086157 ...  0.01247973  0.00543865
 -0.00759988]"
15,180,"[ 0.06812505 -0.00340538  0.00681113 ... -0.0049495   0.00570053
 -0.02062389]"
16,35,"[ 2.3510126e-02  3.5331072e-04 -3.6556041e-05 ...  8.9624207e-03
  1.3484601e-02 -1.3790129e-02]"
17,157,"[ 0.0353919  -0.00210204  0.00826677 ...  0.00065845  0.01594711
 -0.0253863 ]"
18,191,"[ 0.14362718  0.00778041  0.00464498 ... -0.0099565  -0.00411709
 -0.02716888]"
19,109,"[ 0.07145765 -0.00187335 -0.00888353 ...  0.0188072   0.00241995
 -0.02535636]"
20,37,"[ 0.0472035   0.00406342 -0.00432482 ...  0.02317804  0.01133256
 -0.03458371]"
21,50,"[ 0.10406187  0.0007751  -0.00066614 ...  0.00501511  0.00589214
 -0.03271342]"
22,122,"[ 0.06696214 -0.00643012  0.01130206 ... -0.00175789  0.00276853
 -0.02055802]"
23,43,"[ 0.07262293  0.014945   -0.02143986 ...  0.01127499  0.01841889
 -0.01501738]"
24,195,"[ 0.13000365  0.01701288 -0.01263116 ...  0.00807548 -0.01034578
 -0.01884843]"
25,154,"[ 0.07201214  0.00313483 -0.02349998 ...  0.01996622 -0.01068361
 -0.02679695]"
26,85,"[ 0.13965808  0.01349043 -0.01437105 ...  0.01608603 -0.0061578
 -0.0221298 ]"
27,120,"[ 0.03039998  0.00288598 -0.00242307 ...  0.01202394  0.0021877
 -0.00314161]"
28,95,"[ 0.0461332  -0.0041703   0.00445364 ...  0.00980904  0.01556359
 -0.01708907]"
29,115,"[ 0.10567759  0.01078206 -0.00704507 ...  0.00830692  0.0040174
 -0.01084757]"
30,49,"[ 0.02987937 -0.0011735   0.00037792 ...  0.01033088  0.00296418
 -0.01249852]"
31,187,"[ 0.05956214 -0.00433801  0.01915151 ...  0.01512572  0.01516451
 -0.01085601]"
0,80,"[ 0.13366838  0.00614154 -0.00410346 ...  0.00189628  0.00125766
 -0.02766501]"
1,66,"[ 0.0947249  -0.00577616  0.00646304 ... -0.00422411  0.02107502
 -0.01896608]"
2,164,"[ 0.00139097 -0.00911511  0.00230215 ...  0.01715081  0.01663678
 -0.0138884 ]"
3,41,"[ 0.08476655 -0.00478326 -0.00684537 ...  0.0026642  -0.00515172
 -0.01474443]"
