Index,True Label,Embedding
0,145,"[ 0.01283704  0.02993742 -0.03911075 ...  0.00869735  0.01000235
 -0.00783817]"
1,20,"[-0.00125929  0.01496732  0.00706672 ... -0.00012337  0.03135255
 -0.0116983 ]"
2,205,"[ 0.05322625  0.00482551 -0.00654142 ... -0.02246113  0.00961565
  0.01555126]"
3,114,"[-0.01262586 -0.0114728  -0.00622826 ...  0.00788472  0.04512873
 -0.02339657]"
4,101,"[ 0.04818336  0.01452546 -0.00217527 ... -0.00234204  0.0286533
 -0.0389944 ]"
5,22,"[ 0.06673463  0.03376746 -0.03649721 ... -0.02042745  0.01416921
 -0.01718216]"
6,74,"[ 0.01688276  0.02551949  0.01794115 ... -0.0125799   0.03188257
 -0.00885681]"
7,55,"[ 0.02586643  0.04330693 -0.00407158 ... -0.02933478 -0.01314351
 -0.02220343]"
8,68,"[ 0.05381644  0.02139607  0.01688299 ... -0.00112205  0.06086952
 -0.03571227]"
9,78,[0.00599541 0.01107295 0.01526543 ... 0.01625156 0.04038778 0.01745876]
10,59,"[-0.01374744  0.00779807 -0.0011044  ...  0.00858726  0.02471411
  0.02472917]"
11,146,"[ 0.04983311  0.02177998  0.02764637 ...  0.00019581  0.06307031
 -0.03094762]"
12,11,"[ 0.027862    0.02154824  0.00180545 ... -0.01015421  0.02492083
 -0.02993802]"
13,71,"[-0.0090539   0.0388944   0.00313326 ... -0.00366531  0.02150347
 -0.04362148]"
14,134,"[-0.0156451   0.00764417 -0.0033585  ... -0.04466816  0.03114429
 -0.00590873]"
15,180,"[-0.01465109  0.00067943  0.02172774 ...  0.02080665  0.01964415
 -0.0145009 ]"
16,35,"[ 0.00114799  0.01454458 -0.02125617 ... -0.0179744   0.0178822
  0.00560053]"
17,157,"[ 0.03615283  0.02924473 -0.0072304  ... -0.0031127   0.04362539
 -0.01207597]"
18,191,"[ 0.06850445  0.008104    0.01491947 ... -0.03583276  0.00109183
  0.03029173]"
19,109,"[ 2.1874905e-05  1.8288193e-02  7.7048447e-03 ... -3.6292458e-03
  2.1502709e-02  1.3889792e-02]"
20,37,"[ 0.03472325  0.03873327  0.02826091 ...  0.04193907 -0.00191731
 -0.01685654]"
21,50,"[ 0.01678991  0.03776465 -0.03881575 ...  0.02318433 -0.00765426
  0.0202142 ]"
22,122,"[-0.0190654   0.02869132 -0.02070599 ...  0.01579278  0.03851022
  0.01781157]"
23,43,"[ 0.01656646  0.02433087  0.01362406 ... -0.03028538  0.02734719
  0.00519487]"
24,195,"[ 0.01392227  0.00132862 -0.02851877 ... -0.02592617  0.01636007
 -0.00580104]"
25,154,"[-0.03795647  0.04857308 -0.00081517 ... -0.00373716  0.04247896
 -0.04768528]"
26,85,"[ 0.00397744  0.01621619 -0.04431939 ... -0.04159192  0.01526411
 -0.00214943]"
27,120,"[-0.00526908  0.00874577 -0.00451668 ... -0.03433241  0.02344173
 -0.00298125]"
28,95,"[ 0.016424    0.02247825 -0.05778842 ... -0.024794    0.01206269
 -0.02223302]"
29,115,"[ 0.04417989 -0.02153855 -0.00761631 ...  0.00472867  0.01317579
 -0.01386953]"
30,49,"[-0.02104048 -0.01571104 -0.00707356 ... -0.03108057  0.00406022
  0.01566013]"
31,187,"[ 0.06127305  0.02051507 -0.02815434 ... -0.03219143  0.00183154
 -0.02376845]"
0,80,[0.01261812 0.02610685 0.01256613 ... 0.01159161 0.01714789 0.02324955]
1,66,"[-0.0084925   0.01773903 -0.03281594 ... -0.01020076  0.0106138
 -0.00071778]"
2,164,"[ 0.01342004  0.02628181 -0.04284851 ... -0.00998251  0.01704502
  0.01160775]"
3,41,"[ 0.00766587  0.00034221  0.00602639 ...  0.01051913 -0.01362539
 -0.01900366]"
