Index,True Label,Embedding
0,48,"[-0.01734027 -0.09360322 -0.06579714 ...  0.00233092  0.01945418
 -0.08594517]"
1,65,"[-0.02647138  0.0574539  -0.01913448 ...  0.08270983  0.00031662
 -0.0216025 ]"
2,61,"[ 0.02388642 -0.01519007 -0.05537202 ...  0.06098301 -0.02379292
 -0.06671137]"
3,147,"[ 0.02438618 -0.04074816  0.02833283 ...  0.09827527 -0.01422489
 -0.06640964]"
4,24,"[-0.04555109  0.00273845  0.01153076 ...  0.18796583  0.1286148
 -0.05940012]"
5,70,"[-0.06040873 -0.05166443  0.14388373 ... -0.01020465  0.02154512
 -0.05698527]"
6,88,"[ 0.02835108 -0.02653254 -0.014522   ...  0.0979725  -0.06268857
  0.00841092]"
7,176,"[-0.01145579 -0.10279054  0.16709363 ...  0.06077221 -0.0375987
 -0.05845443]"
8,174,"[ 0.0529962   0.05039348 -0.10320017 ...  0.04117249 -0.01788976
 -0.08899091]"
9,6,"[ 0.02628907  0.05558043 -0.09373538 ...  0.00470167 -0.01659371
 -0.0168992 ]"
10,69,"[-0.11361624 -0.03685984  0.00516882 ...  0.10208912 -0.03171151
 -0.05915432]"
11,90,"[ 0.01267747 -0.04265967  0.02242505 ...  0.02233598 -0.0433764
  0.01263828]"
12,89,"[-0.06624922 -0.01867152  0.00569498 ...  0.10839012  0.16356747
 -0.08409988]"
13,186,"[ 0.09747443 -0.01173828 -0.01281241 ... -0.0006845  -0.03595664
  0.00969882]"
14,119,"[-0.09309792  0.0263422  -0.07370086 ...  0.00850675  0.01712754
 -0.11725534]"
15,26,"[-0.04078287 -0.03473403  0.13254823 ...  0.0010656  -0.00453052
 -0.02778499]"
16,57,"[ 0.01982409 -0.02871909 -0.01618364 ... -0.05022331  0.00937327
 -0.11033311]"
17,140,"[ 0.06418213  0.00928641 -0.04992853 ...  0.10421862 -0.01240938
 -0.05401116]"
18,161,"[-0.0099066  -0.09907534  0.13053282 ...  0.01223625 -0.0410121
 -0.08746532]"
19,113,"[-0.00259002 -0.04324594  0.17285502 ... -0.01599118  0.05967957
 -0.03728994]"
20,125,"[ 0.00052036 -0.16872945  0.08040868 ...  0.00066993 -0.04558348
 -0.02646232]"
21,162,"[ 0.05248179 -0.01493095 -0.09137617 ...  0.0041438   0.08630738
 -0.09175884]"
22,54,"[-0.03939319  0.01592973 -0.10885347 ...  0.03258902  0.04559981
 -0.01777215]"
23,163,"[ 0.03380703 -0.1813612   0.04348745 ...  0.04251245  0.00625505
 -0.05633576]"
24,121,"[-0.03875192  0.06450301  0.05178386 ...  0.0354217   0.05093116
 -0.04144415]"
25,149,"[ 0.03384933  0.16656953 -0.07909703 ...  0.01875323  0.01502592
 -0.0437657 ]"
26,108,"[ 0.02058295 -0.03308411  0.07275356 ... -0.03232164  0.00462687
 -0.05393465]"
27,0,"[-0.0269406  -0.02020421 -0.04290845 ...  0.10404909  0.00714896
 -0.00466009]"
28,133,"[-0.05565006 -0.06872337  0.12856048 ... -0.02702933  0.01307596
 -0.01360408]"
29,102,"[-0.03892838 -0.04148947 -0.02619378 ...  0.06169733  0.00544538
 -0.07765798]"
30,96,"[ 0.04743328 -0.01671149  0.01014334 ... -0.07823273  0.00186904
 -0.08417103]"
31,142,"[-0.00708056  0.08629548 -0.0370026  ...  0.13837145  0.04010991
 -0.11338032]"
0,144,"[ 0.03004455 -0.06924742  0.04211302 ...  0.00962871 -0.04583758
 -0.01858016]"
1,83,"[-0.01066226  0.08858359  0.08406764 ... -0.04892197  0.02483516
 -0.00321661]"
2,12,"[-0.04002083 -0.16442473  0.05842265 ... -0.03435336 -0.04003074
 -0.01431639]"
3,145,"[-0.00976397 -0.05848026 -0.02098714 ...  0.0827698   0.08390113
 -0.04077486]"
